Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Gerald Henderson,30:06,4,13,.308,0,1,.000,0,0,nan,0,1,1,2,3,0,1,2,8,-27,0
D.J. White,27:29,10,12,.833,1,1,1.000,0,0,nan,1,2,3,1,2,1,1,3,21,-19,0
D.J. Augustin,23:40,1,11,.091,0,3,.000,2,2,1.000,1,3,4,7,0,0,3,1,4,-21,0
Boris Diaw,22:31,2,4,.500,1,1,1.000,0,0,nan,0,2,2,3,0,0,2,3,5,-17,0
Corey Maggette,18:38,0,6,.000,0,2,.000,2,2,1.000,1,3,4,0,0,0,1,4,2,-22,0
Derrick Brown,25:30,6,11,.545,1,2,.500,1,2,.500,2,5,7,2,2,0,2,0,14,-21,0
Kemba Walker,24:20,6,13,.462,2,4,.500,3,5,.600,0,3,3,4,1,0,1,1,17,-18,0
Byron Mullens,21:38,1,6,.167,0,0,nan,4,4,1.000,0,3,3,0,0,0,2,1,6,-15,0
Bismack Biyombo,19:54,2,5,.400,0,0,nan,2,6,.333,3,3,6,0,1,2,1,3,6,-20,0
Matt Carroll,12:35,1,4,.250,0,3,.000,0,0,nan,0,3,3,1,0,0,1,0,2,-5,0
Cory Higgins,9:11,2,5,.400,1,1,1.000,0,0,nan,1,1,2,0,0,0,0,1,5,-3,0
DeSagana Diop,4:28,0,2,.000,0,0,nan,0,0,nan,2,0,2,0,0,0,1,1,0,-7,0
Team Totals,240,35,92,.380,6,18,.333,14,21,.667,11,29,40,20,9,3,16,20,90,nan,0
Chris Bosh,29:22,9,13,.692,0,0,nan,6,6,1.000,1,9,10,1,2,0,3,1,24,+33,1
Joel Anthony,29:17,3,5,.600,0,0,nan,2,2,1.000,1,5,6,0,0,1,1,2,8,+23,1
Dwyane Wade,29:04,9,16,.563,0,0,nan,4,4,1.000,1,2,3,6,2,1,3,3,22,+24,1
LeBron James,28:02,6,10,.600,0,0,nan,4,6,.667,0,9,9,5,1,0,2,2,16,+24,1
Mario Chalmers,28:00,6,7,.857,4,4,1.000,0,0,nan,0,2,2,5,0,0,2,0,16,+28,1
James Jones,23:49,2,4,.500,2,4,.500,0,0,nan,0,0,0,0,1,0,0,3,6,+21,1
Udonis Haslem,20:57,1,4,.250,0,0,nan,4,4,1.000,2,7,9,2,0,0,0,0,6,+18,1
Norris Cole,20:03,6,8,.750,0,0,nan,4,5,.800,0,1,1,9,3,0,2,2,16,+11,1
Terrel Harris,9:11,3,6,.500,1,2,.500,2,2,1.000,0,2,2,2,0,0,0,1,9,+3,1
Mickell Gladness,8:32,1,1,1.000,0,0,nan,0,0,nan,0,4,4,2,1,0,2,2,2,+3,1
Dexter Pittman,7:52,2,3,.667,0,0,nan,0,0,nan,0,1,1,0,0,1,0,2,4,+1,1
Shane Battier,5:51,0,3,.000,0,1,.000,0,2,.000,0,0,0,1,0,0,0,0,0,+6,1
240,35,92,.380,6,18,.333,14,21,.667,11,29,40,20,9,3,16,20,90,nan,240,1
