Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,35:12,5,22,.227,0,3,.000,4,6,.667,1,8,9,6,0,0,6,3,14,-9,0
Eric Snow,33:37,2,8,.250,0,0,nan,0,2,.000,0,5,5,5,1,0,1,3,4,-18,0
Zydrunas Ilgauskas,25:47,6,14,.429,0,0,nan,1,1,1.000,7,4,11,1,0,0,4,4,13,-20,0
Drew Gooden,22:22,7,8,.875,0,0,nan,2,2,1.000,4,6,10,1,2,0,3,1,16,-13,0
Ira Newble,10:16,1,3,.333,0,0,nan,0,0,nan,0,0,0,0,0,1,0,1,2,-12,0
Damon Jones,31:48,3,8,.375,1,6,.167,0,0,nan,0,1,1,0,1,0,1,1,7,-10,0
Sasha Pavlovic,22:37,3,7,.429,0,2,.000,0,0,nan,2,2,4,2,0,0,2,6,6,-6,0
Donyell Marshall,22:00,3,6,.500,1,2,.500,1,2,.500,2,3,5,0,0,1,0,1,8,-4,0
Alan Henderson,12:01,2,4,.500,0,0,nan,2,2,1.000,1,2,3,0,1,1,0,0,6,-5,0
Anderson Varejao,10:06,0,0,nan,0,0,nan,0,0,nan,2,4,6,0,2,0,1,2,0,+1,0
Mike Wilks,7:55,1,5,.200,0,3,.000,0,0,nan,0,1,1,0,0,0,1,0,2,-2,0
Luke Jackson,6:19,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,0,1,-2,0
Team Totals,240,33,86,.384,2,17,.118,11,17,.647,19,36,55,16,7,3,20,22,79,nan,0
Derek Fisher,42:18,7,15,.467,2,4,.500,1,2,.500,0,5,5,9,6,0,3,1,17,+19,1
Mike Dunleavy,41:50,9,14,.643,0,1,.000,4,6,.667,1,5,6,4,3,0,2,2,22,+14,1
Jason Richardson,39:05,7,17,.412,3,3,1.000,5,7,.714,1,4,5,5,3,0,4,2,22,+10,1
Troy Murphy,37:46,5,9,.556,1,2,.500,5,6,.833,1,10,11,3,0,1,0,4,16,+9,1
Adonal Foyle,26:10,1,4,.250,0,0,nan,0,1,.000,0,5,5,0,0,2,1,3,2,+18,1
Mickael Pietrus,24:52,4,10,.400,1,3,.333,2,8,.250,3,1,4,1,1,0,2,3,11,+9,1
Andris Biedrins,13:11,2,3,.667,0,0,nan,0,0,nan,2,3,5,0,0,1,0,5,4,+2,1
Ike Diogu,11:22,1,4,.250,0,0,nan,0,0,nan,2,2,4,0,0,0,2,0,2,+13,1
Monta Ellis,1:43,1,2,.500,1,2,.500,0,0,nan,0,0,0,0,0,0,0,0,3,+3,1
Zarko Cabarkapa,1:43,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+3,1
240,33,86,.384,2,17,.118,11,17,.647,19,36,55,16,7,3,20,22,79,nan,240,1
