Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,50:40,17,31,.548,1,3,.333,6,8,.750,2,5,7,8,3,1,4,4,41,+8,0
Larry Hughes,49:24,5,16,.313,1,5,.200,1,3,.333,1,7,8,6,2,0,0,3,12,+3,0
Sasha Pavlovic,38:52,2,6,.333,0,2,.000,2,2,1.000,0,5,5,4,0,0,0,4,6,+23,0
Drew Gooden,38:31,10,18,.556,0,0,nan,2,5,.400,4,6,10,0,0,0,2,3,22,+16,0
Zydrunas Ilgauskas,38:10,7,11,.636,0,0,nan,0,0,nan,4,6,10,1,1,1,1,6,14,+1,0
Anderson Varejao,20:17,1,4,.250,0,0,nan,2,6,.333,4,3,7,1,0,0,0,3,4,-11,0
Eric Snow,17:10,1,3,.333,0,0,nan,0,0,nan,0,0,0,0,0,0,0,4,2,-19,0
Donyell Marshall,8:44,0,2,.000,0,2,.000,0,0,nan,0,1,1,0,0,0,1,1,0,0,0
Shannon Brown,3:12,0,2,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,1,0,-1,0
Team Totals,265,43,93,.462,2,13,.154,13,24,.542,15,33,48,20,6,2,8,29,101,nan,0
Richard Hamilton,47:48,10,19,.526,1,2,.500,8,9,.889,0,0,0,0,0,1,3,4,29,-3,1
Tayshaun Prince,46:38,4,7,.571,0,0,nan,4,4,1.000,0,3,3,0,0,0,1,5,12,-10,1
Chauncey Billups,45:32,2,10,.200,0,6,.000,12,13,.923,0,7,7,14,1,0,3,4,16,-15,1
Chris Webber,41:50,7,17,.412,0,0,nan,6,8,.750,6,5,11,4,1,1,4,2,20,-5,1
Rasheed Wallace,38:10,3,8,.375,1,5,.200,0,0,nan,0,6,6,1,0,0,0,4,7,-16,1
Jason Maxiell,13:53,0,2,.000,0,0,nan,0,2,.000,1,3,4,1,0,0,0,1,0,+6,1
Ronald Murray,12:40,1,1,1.000,0,0,nan,4,6,.667,0,0,0,0,0,0,1,4,6,+10,1
Antonio McDyess,11:50,3,5,.600,0,0,nan,1,2,.500,3,3,6,0,0,1,1,4,7,+11,1
Carlos Delfino,6:23,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,+5,1
Dale Davis,0:16,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-3,1
265,43,93,.462,2,13,.154,13,24,.542,15,33,48,20,6,2,8,29,101,nan,265,1
