Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Manu Ginobili,40:34,15,20,.750,8,11,.727,8,9,.889,0,5,5,8,3,1,1,2,46,+12,0
Tim Duncan,39:11,8,21,.381,0,0,nan,7,9,.778,3,10,13,2,1,2,1,3,23,+21,0
Bruce Bowen,36:30,4,4,1.000,2,2,1.000,0,0,nan,1,0,1,3,0,0,0,2,10,+9,0
Fabricio Oberto,21:53,1,3,.333,0,0,nan,2,2,1.000,1,4,5,0,0,0,0,1,4,-25,0
Jacque Vaughn,17:35,1,8,.125,0,0,nan,0,0,nan,0,1,1,2,0,0,0,1,2,-9,0
Michael Finley,25:20,2,8,.250,1,3,.333,3,4,.750,0,0,0,5,0,0,0,1,8,+11,0
Ime Udoka,24:00,4,4,1.000,1,1,1.000,3,3,1.000,0,3,3,0,0,0,2,3,12,+17,0
Damon Stoudamire,18:46,0,4,.000,0,2,.000,0,0,nan,0,3,3,3,0,0,1,0,0,-3,0
Robert Horry,16:11,2,4,.500,0,1,.000,3,3,1.000,2,1,3,0,0,0,0,2,7,+2,0
Team Totals,240,37,76,.487,12,20,.600,26,30,.867,7,27,34,23,4,3,5,15,112,nan,0
LeBron James,42:44,17,31,.548,1,5,.200,4,7,.571,2,4,6,9,0,1,3,4,39,-4,1
Larry Hughes,38:19,11,19,.579,4,7,.571,0,1,.000,1,5,6,3,0,0,0,2,26,-13,1
Drew Gooden,30:55,2,8,.250,0,0,nan,3,3,1.000,1,10,11,2,0,1,0,3,7,-4,1
Zydrunas Ilgauskas,26:52,3,6,.500,0,0,nan,0,0,nan,1,3,4,3,0,2,4,4,6,-2,1
Ira Newble,15:52,0,1,.000,0,0,nan,0,0,nan,0,3,3,1,0,0,0,3,0,+6,1
Devin Brown,27:11,3,6,.500,1,2,.500,2,2,1.000,2,4,6,3,2,0,2,1,9,-7,1
Damon Jones,26:02,3,6,.500,3,5,.600,0,0,nan,0,1,1,2,0,0,0,0,9,-10,1
Donyell Marshall,24:10,2,3,.667,2,3,.667,3,3,1.000,0,2,2,1,0,2,0,4,9,-1,1
Dwayne Jones,7:55,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,2,0,0,1
240,37,76,.487,12,20,.600,26,30,.867,7,27,34,23,4,3,5,15,112,nan,240,1
