Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,39:00,7,24,.292,1,6,.167,11,15,.733,4,4,8,4,0,0,3,2,26,-13,0
Delonte West,35:54,8,14,.571,2,4,.500,2,2,1.000,1,4,5,2,0,0,3,3,20,+6,0
Zydrunas Ilgauskas,27:51,4,9,.444,0,0,nan,0,0,nan,6,6,12,0,0,1,2,4,8,-8,0
Ben Wallace,25:49,3,6,.500,0,0,nan,0,0,nan,1,5,6,1,0,0,2,4,6,-17,0
Devin Brown,22:04,1,6,.167,0,2,.000,1,2,.500,0,0,0,2,2,0,2,1,3,-11,0
Wally Szczerbiak,31:37,3,12,.250,2,3,.667,4,4,1.000,0,5,5,2,2,0,2,4,12,0,0
Anderson Varejao,27:11,0,0,nan,0,0,nan,0,0,nan,1,3,4,3,2,1,1,1,0,+4,0
Damon Jones,14:55,1,5,.200,1,4,.250,0,0,nan,0,0,0,2,1,0,0,0,3,-2,0
Joe Smith,14:39,4,5,.800,0,0,nan,1,1,1.000,2,2,4,0,0,0,0,5,9,+6,0
Billy Thomas,0:30,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+5,0
Dwayne Jones,0:30,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+5,0
Team Totals,240,31,81,.383,6,19,.316,19,24,.792,15,29,44,16,7,2,15,24,87,nan,0
Paul Pierce,38:59,4,14,.286,1,3,.333,3,4,.750,0,2,2,5,1,0,6,5,12,+4,1
Ray Allen,36:57,7,10,.700,3,5,.600,5,6,.833,1,3,4,1,0,1,4,2,22,+3,1
Rajon Rondo,33:52,4,9,.444,0,0,nan,0,3,.000,1,4,5,8,3,0,3,2,8,-1,1
Kevin Garnett,33:06,8,14,.571,0,0,nan,2,2,1.000,0,11,11,5,4,0,1,2,18,+5,1
Kendrick Perkins,25:07,4,4,1.000,0,0,nan,0,2,.000,1,0,1,2,1,1,1,2,8,+5,1
Glen Davis,23:40,2,3,.667,0,0,nan,5,7,.714,2,2,4,0,0,0,1,5,9,-1,1
James Posey,20:04,0,2,.000,0,2,.000,0,0,nan,0,5,5,1,0,0,1,3,0,+3,1
Eddie House,14:23,1,4,.250,0,2,.000,0,0,nan,0,2,2,5,1,0,2,0,2,+6,1
Leon Powe,13:52,4,5,.800,0,0,nan,5,5,1.000,0,3,3,0,0,0,0,4,13,+1,1
240,31,81,.383,6,19,.316,19,24,.792,15,29,44,16,7,2,15,24,87,nan,240,1
