Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Anthony Davis,40:22,10,27,.370,0,1,.000,0,2,.000,6,10,16,2,1,3,3,2,20,+3,0
Jrue Holiday,35:25,4,11,.364,2,3,.667,1,2,.500,0,4,4,13,3,0,4,1,11,+8,0
Buddy Hield,34:34,6,13,.462,4,6,.667,4,4,1.000,0,5,5,2,0,0,2,3,20,+6,0
Dante Cunningham,32:43,3,5,.600,0,1,.000,0,0,nan,0,6,6,0,0,0,1,2,6,+6,0
Solomon Hill,27:05,2,8,.250,2,7,.286,0,0,nan,0,2,2,0,0,1,0,3,6,-7,0
E'Twaun Moore,20:15,2,5,.400,2,3,.667,0,0,nan,1,3,4,1,0,1,0,5,6,-16,0
Tyreke Evans,18:33,2,9,.222,0,1,.000,0,0,nan,1,2,3,5,1,0,2,1,4,-20,0
Terrence Jones,18:12,2,5,.400,0,0,nan,2,2,1.000,0,3,3,2,1,0,1,0,6,-8,0
Langston Galloway,12:51,1,5,.200,1,4,.250,0,0,nan,0,2,2,1,0,1,0,1,3,-12,0
Cheick Diallo,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Omer Asik,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Tim Frazier,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Alexis Ajinca,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,32,88,.364,11,26,.423,7,10,.700,8,37,45,26,6,6,13,18,82,nan,0
LeBron James,38:55,9,21,.429,0,4,.000,8,10,.800,2,5,7,6,2,1,4,1,26,-4,1
Tristan Thompson,28:05,1,2,.500,0,0,nan,0,0,nan,3,6,9,0,0,1,1,1,2,-17,1
Kevin Love,24:08,5,19,.263,0,7,.000,2,3,.667,3,8,11,3,1,0,1,1,12,+2,1
DeAndre Liggins,18:36,1,5,.200,0,1,.000,0,0,nan,0,3,3,1,3,0,0,3,2,-12,1
Jordan McRae,15:50,1,5,.200,0,3,.000,2,2,1.000,0,3,3,0,2,0,1,1,4,-9,1
Iman Shumpert,31:17,1,7,.143,0,3,.000,1,2,.500,2,2,4,1,1,1,0,1,3,+20,1
Richard Jefferson,28:34,4,9,.444,1,4,.250,3,3,1.000,1,11,12,2,0,0,2,0,12,+22,1
Channing Frye,24:59,5,9,.556,4,7,.571,0,2,.000,0,6,6,0,0,1,2,3,14,+17,1
Kay Felder,22:00,6,11,.545,0,0,nan,0,0,nan,0,1,1,2,0,0,0,2,12,+12,1
James Jones,7:36,1,2,.500,1,2,.500,0,0,nan,0,0,0,1,0,0,0,0,3,+9,1
J.R. Smith,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kyrie Irving,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Mike Dunleavy,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,32,88,.364,11,26,.423,7,10,.700,8,37,45,26,6,6,13,18,82,nan,240,1
