Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,45:48,11,16,.688,1,3,.333,6,6,1.000,4,5,9,6,2,1,1,3,29,-3,0
Kyrie Irving,38:41,11,21,.524,3,8,.375,1,1,1.000,0,3,3,6,1,0,4,3,26,-8,0
J.R. Smith,32:02,3,12,.250,3,11,.273,0,0,nan,0,2,2,1,0,0,1,2,9,-4,0
Kevin Love,30:39,4,14,.286,2,7,.286,0,0,nan,1,6,7,3,0,0,1,0,10,-4,0
Tristan Thompson,29:02,1,3,.333,0,0,nan,0,0,nan,3,6,9,0,1,0,2,3,2,-14,0
Channing Frye,21:22,4,8,.500,4,8,.500,0,0,nan,1,5,6,1,0,0,0,3,12,+6,0
Matthew Dellavedova,15:29,1,4,.250,0,3,.000,0,0,nan,0,1,1,5,0,1,1,2,2,-3,0
Richard Jefferson,14:49,4,4,1.000,0,0,nan,0,0,nan,0,0,0,1,0,0,0,0,8,0,0
Iman Shumpert,12:09,0,1,.000,0,1,.000,1,2,.500,1,0,1,0,1,0,0,1,1,0,0
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Mo Williams,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Timofey Mozgov,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Dahntay Jones,Player Suspended,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,39,83,.470,13,41,.317,8,9,.889,10,28,38,23,5,2,10,17,99,nan,0
Kyle Lowry,44:15,14,20,.700,4,7,.571,3,4,.750,1,4,5,5,3,0,2,4,35,+4,1
Bismack Biyombo,41:42,2,4,.500,0,0,nan,1,4,.250,3,11,14,1,0,3,1,3,5,+9,1
DeMar DeRozan,39:55,14,23,.609,0,1,.000,4,4,1.000,0,3,3,3,1,0,2,2,32,+8,1
DeMarre Carroll,36:16,3,12,.250,1,7,.143,4,5,.800,2,1,3,2,1,0,0,2,11,+10,1
Luis Scola,14:14,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,1,0,0,2,0,-2,1
Patrick Patterson,33:46,3,5,.600,1,3,.333,2,2,1.000,2,3,5,2,1,0,2,2,9,+8,1
Cory Joseph,16:28,4,8,.500,0,1,.000,0,0,nan,0,3,3,2,0,0,0,0,8,-1,1
Terrence Ross,7:19,1,3,.333,1,2,.500,0,0,nan,0,1,1,1,1,0,0,0,3,-3,1
James Johnson,6:05,1,2,.500,0,0,nan,0,0,nan,1,0,1,1,0,0,1,1,2,-3,1
Jason Thompson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Delon Wright,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Norman Powell,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Jonas Valanciunas,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,39,83,.470,13,41,.317,8,9,.889,10,28,38,23,5,2,10,17,99,nan,240,1
