Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Chris Bosh,41:46,13,25,.520,0,0,nan,15,17,.882,1,3,4,5,1,0,1,1,41,+3,0
Jose Calderon,40:40,3,10,.300,0,2,.000,1,1,1.000,0,2,2,13,1,0,0,1,7,+1,0
Jamario Moon,33:31,2,6,.333,1,4,.250,0,0,nan,2,3,5,1,1,1,1,1,5,+8,0
Andrea Bargnani,33:29,6,9,.667,0,1,.000,2,2,1.000,0,5,5,1,0,0,2,3,14,0,0
Anthony Parker,32:14,4,8,.500,1,4,.250,0,0,nan,0,7,7,1,1,0,1,5,9,+4,0
Jason Kapono,23:47,7,11,.636,3,6,.500,0,0,nan,1,0,1,0,0,0,0,1,17,-7,0
Carlos Delfino,20:59,3,8,.375,1,3,.333,0,0,nan,0,3,3,1,1,0,0,4,7,-14,0
Darrick Martin,7:20,2,4,.500,0,1,.000,0,0,nan,0,0,0,3,1,0,0,1,4,-4,0
Kris Humphries,6:14,1,2,.500,0,0,nan,2,2,1.000,1,0,1,0,0,1,0,0,4,-6,0
Team Totals,240,41,83,.494,6,21,.286,20,22,.909,5,23,28,25,6,2,5,17,108,nan,0
LeBron James,44:41,14,29,.483,2,8,.250,7,8,.875,3,9,12,12,3,1,4,3,37,+7,1
Daniel Gibson,43:14,6,12,.500,4,8,.500,1,3,.333,1,2,3,3,1,1,1,0,17,0,1
Zydrunas Ilgauskas,31:13,8,13,.615,0,0,nan,0,0,nan,6,9,15,2,1,1,6,6,16,+3,1
Drew Gooden,30:10,4,6,.667,0,0,nan,0,0,nan,1,2,3,0,0,1,1,1,8,-5,1
Sasha Pavlovic,23:30,2,5,.400,1,2,.500,2,4,.500,2,6,8,2,0,0,0,3,7,-5,1
Damon Jones,33:06,6,10,.600,5,9,.556,0,0,nan,0,1,1,3,0,0,0,0,17,+15,1
Devin Brown,19:17,2,5,.400,1,2,.500,2,4,.500,0,2,2,3,0,0,0,0,7,+7,1
Eric Snow,8:05,0,1,.000,0,0,nan,0,0,nan,0,1,1,3,0,0,0,2,0,-1,1
Ira Newble,6:45,1,2,.500,0,1,.000,0,0,nan,0,2,2,0,0,0,0,1,2,-6,1
240,41,83,.494,6,21,.286,20,22,.909,5,23,28,25,6,2,5,17,108,nan,240,1
