Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Evan Turner,33:29,3,11,.273,0,2,.000,3,4,.750,2,10,12,3,0,0,1,2,9,+8,0
Tyler Zeller,30:22,5,8,.625,0,0,nan,1,2,.500,2,4,6,1,1,1,2,2,11,-5,0
Avery Bradley,28:34,3,9,.333,2,2,1.000,0,0,nan,1,3,4,0,1,0,0,4,8,-12,0
Marcus Smart,25:31,4,9,.444,1,5,.200,1,2,.500,0,1,1,1,0,0,0,3,10,-20,0
Brandon Bass,15:02,0,6,.000,0,0,nan,2,2,1.000,1,1,2,3,1,2,0,0,2,-13,0
Isaiah Thomas,30:02,6,14,.429,0,3,.000,10,10,1.000,1,0,1,7,1,0,4,2,22,-3,0
Jae Crowder,29:41,4,10,.400,0,2,.000,2,2,1.000,3,2,5,3,1,0,1,3,10,-2,0
Jared Sullinger,22:14,6,12,.500,2,4,.500,0,0,nan,3,2,5,1,0,0,0,1,14,-8,0
Kelly Olynyk,21:00,2,5,.400,1,3,.333,0,0,nan,0,2,2,0,1,0,2,4,5,+13,0
Jonas Jerebko,4:04,0,1,.000,0,1,.000,0,0,nan,0,1,1,0,0,0,1,1,0,+2,0
Gerald Wallace,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Phil Pressey,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Luigi Datome,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,33,85,.388,6,22,.273,19,22,.864,13,26,39,19,6,3,11,22,91,nan,0
LeBron James,41:48,11,22,.500,1,5,.200,7,8,.875,1,8,9,7,0,2,6,3,30,+11,1
Kyrie Irving,38:46,8,18,.444,3,8,.375,7,7,1.000,0,5,5,6,0,1,2,3,26,+15,1
J.R. Smith,34:02,3,12,.250,1,8,.125,0,0,nan,0,4,4,1,5,0,1,3,7,+10,1
Kevin Love,29:34,3,8,.375,1,5,.200,6,7,.857,1,5,6,2,0,2,4,5,13,+2,1
Timofey Mozgov,28:31,7,11,.636,0,0,nan,2,2,1.000,4,3,7,0,0,5,4,6,16,+17,1
Tristan Thompson,26:21,0,0,nan,0,0,nan,0,0,nan,5,6,11,2,1,0,1,0,0,-3,1
Iman Shumpert,25:32,1,3,.333,0,1,.000,0,0,nan,1,4,5,0,1,0,0,1,2,-2,1
Matthew Dellavedova,9:14,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,5,-7,1
James Jones,4:04,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,0,-2,1
Kendrick Perkins,2:08,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-1,1
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Shawn Marion,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Mike Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,33,85,.388,6,22,.273,19,22,.864,13,26,39,19,6,3,11,22,91,nan,240,1
