Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Antoine Walker,42:00,9,20,.450,4,9,.444,4,8,.500,3,7,10,5,2,0,3,3,26,-8,0
Al Harrington,40:00,5,12,.417,0,0,nan,6,8,.750,4,5,9,1,0,1,4,4,16,-9,0
Tyronn Lue,37:00,5,12,.417,0,3,.000,0,0,nan,0,0,0,3,0,0,1,1,10,-3,0
Josh Smith,32:00,5,7,.714,0,0,nan,1,1,1.000,1,3,4,3,0,0,0,1,11,-11,0
Jason Collier,17:00,3,5,.600,0,0,nan,0,0,nan,1,4,5,1,0,0,1,4,6,0,0
Josh Childress,25:00,2,11,.182,0,3,.000,0,2,.000,5,1,6,2,0,0,1,3,4,-16,0
Predrag Drobnjak,24:00,3,8,.375,0,1,.000,4,4,1.000,0,1,1,1,0,0,2,2,10,-7,0
Royal Ivey,11:00,0,1,.000,0,0,nan,2,2,1.000,0,1,1,2,0,0,0,2,2,-13,0
Tony Delk,6:00,0,2,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,1,1,0,-9,0
Kevin Willis,4:00,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,-5,0
Boris Diaw,2:00,0,0,nan,0,0,nan,0,0,nan,1,0,1,0,1,0,0,0,0,+1,0
Team Totals,240,32,78,.410,4,16,.250,17,25,.680,15,23,38,18,3,1,13,22,85,nan,0
Zydrunas Ilgauskas,41:00,11,19,.579,0,0,nan,6,6,1.000,6,3,9,3,0,3,2,3,28,+5,1
LeBron James,40:00,7,14,.500,2,5,.400,4,6,.667,1,5,6,9,1,1,2,4,20,+10,1
Jeff McInnis,33:00,7,15,.467,2,5,.400,0,0,nan,0,1,1,9,2,0,0,1,16,+16,1
Drew Gooden,23:00,3,4,.750,0,0,nan,4,4,1.000,2,5,7,0,0,0,0,3,10,0,1
Ira Newble,22:00,5,9,.556,0,1,.000,0,0,nan,0,1,1,1,0,0,1,2,10,-5,1
Anderson Varejao,25:00,0,2,.000,0,0,nan,0,0,nan,4,7,11,0,0,0,0,2,0,+16,1
Lucious Harris,19:00,2,6,.333,0,2,.000,2,2,1.000,1,1,2,1,0,1,0,1,6,+22,1
Eric Snow,18:00,0,5,.000,0,1,.000,0,0,nan,0,1,1,3,1,0,1,2,0,+4,1
Sasha Pavlovic,12:00,2,3,.667,1,1,1.000,0,0,nan,0,1,1,0,0,0,1,1,5,+1,1
Robert Traylor,7:00,3,4,.750,0,0,nan,0,0,nan,2,2,4,0,0,0,2,2,6,+11,1
240,32,78,.410,4,16,.250,17,25,.680,15,23,38,18,3,1,13,22,85,nan,240,1
