Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kevin Love,31:19,5,10,.500,1,3,.333,6,8,.750,0,18,18,0,2,0,4,3,17,+18,0
LeBron James,29:03,7,12,.583,1,1,1.000,2,4,.500,0,1,1,5,1,1,4,1,17,+15,0
J.R. Smith,24:58,2,9,.222,0,2,.000,0,0,nan,0,3,3,0,0,0,1,1,4,-1,0
Kyrie Irving,21:17,4,7,.571,1,2,.500,0,0,nan,0,1,1,5,0,0,2,0,9,+8,0
Timofey Mozgov,20:13,5,9,.556,0,0,nan,1,2,.500,2,3,5,0,0,0,0,2,11,-1,0
Iman Shumpert,29:58,2,7,.286,1,3,.333,1,2,.500,1,2,3,1,2,2,1,0,6,+15,0
Tristan Thompson,27:47,6,8,.750,0,0,nan,2,2,1.000,3,7,10,1,0,0,0,0,14,+14,0
Matthew Dellavedova,20:11,3,3,1.000,0,0,nan,2,2,1.000,0,3,3,3,0,0,0,2,8,+15,0
James Jones,16:41,0,3,.000,0,3,.000,0,0,nan,0,1,1,0,1,0,0,1,0,-5,0
Richard Jefferson,9:34,1,2,.500,1,2,.500,0,0,nan,0,0,0,0,0,0,0,1,3,-1,0
Mo Williams,6:22,1,7,.143,0,1,.000,0,0,nan,0,0,0,0,0,0,1,0,2,-8,0
Jared Cunningham,2:37,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,2,0,-4,0
Anderson Varejao,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,36,77,.468,5,17,.294,14,20,.700,6,39,45,15,6,3,13,13,91,nan,0
Brook Lopez,32:45,8,15,.533,0,0,nan,0,1,.000,3,7,10,1,0,1,2,2,16,-13,1
Joe Johnson,30:51,1,7,.143,1,4,.250,0,0,nan,0,1,1,1,0,0,2,1,3,-4,1
Donald Sloan,24:54,6,10,.600,0,2,.000,0,0,nan,0,1,1,9,1,0,3,0,12,+3,1
Thaddeus Young,24:39,7,14,.500,0,1,.000,0,1,.000,1,4,5,1,1,0,1,6,14,-5,1
Wayne Ellington,22:35,1,5,.200,1,2,.500,0,0,nan,0,2,2,0,1,1,0,1,3,-5,1
Bojan Bogdanovic,29:32,3,9,.333,1,5,.200,0,0,nan,1,4,5,0,1,0,2,0,7,-4,1
Shane Larkin,23:06,3,10,.300,1,3,.333,0,0,nan,0,0,0,7,0,0,0,2,7,-16,1
Andrea Bargnani,13:24,2,4,.500,0,0,nan,0,0,nan,0,2,2,1,0,0,0,0,4,-10,1
Markel Brown,10:47,0,3,.000,0,1,.000,0,0,nan,0,3,3,0,0,1,0,3,0,-6,1
Thomas Robinson,10:36,2,4,.500,0,0,nan,2,4,.500,3,3,6,0,0,0,1,0,6,-4,1
Willie Reed,10:29,2,2,1.000,0,0,nan,2,2,1.000,1,1,2,0,0,1,1,1,6,+2,1
Sergey Karasev,6:22,0,1,.000,0,1,.000,0,0,nan,0,2,2,0,0,0,0,0,0,-3,1
240,36,77,.468,5,17,.294,14,20,.700,6,39,45,15,6,3,13,13,91,nan,240,1
