Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,41:00,11,19,.579,0,3,.000,4,6,.667,2,6,8,6,2,0,1,3,26,+14,0
Drew Gooden,30:00,8,16,.500,0,0,nan,3,3,1.000,5,9,14,0,2,2,1,0,19,+3,0
Jeff McInnis,30:00,5,12,.417,0,3,.000,3,4,.750,1,1,2,4,0,0,2,1,13,+1,0
Ira Newble,24:00,4,8,.500,0,2,.000,0,0,nan,1,1,2,2,0,0,2,2,8,-3,0
Zydrunas Ilgauskas,24:00,1,8,.125,0,0,nan,6,6,1.000,2,6,8,3,1,2,3,5,8,+21,0
Eric Snow,24:00,3,5,.600,0,1,.000,0,0,nan,1,1,2,5,1,0,1,2,6,+14,0
Anderson Varejao,20:00,2,3,.667,0,0,nan,0,1,.000,6,6,12,1,0,1,1,2,4,+7,0
Robert Traylor,17:00,2,5,.400,0,1,.000,2,2,1.000,1,2,3,1,0,0,1,3,6,-6,0
Lucious Harris,15:00,1,3,.333,0,1,.000,0,0,nan,0,1,1,0,0,0,1,0,2,+14,0
Sasha Pavlovic,7:00,0,3,.000,0,1,.000,0,0,nan,0,0,0,0,1,0,0,0,0,-3,0
DeSagana Diop,5:00,0,0,nan,0,0,nan,0,0,nan,1,0,1,0,0,0,0,1,0,-3,0
Luke Jackson,3:00,1,2,.500,0,0,nan,0,0,nan,0,1,1,0,0,0,2,0,2,-4,0
Team Totals,240,38,84,.452,0,12,.000,18,22,.818,20,34,54,22,7,5,15,19,94,nan,0
Emeka Okafor,33:00,6,12,.500,0,0,nan,0,0,nan,3,3,6,0,2,2,1,0,12,-16,1
Brevin Knight,28:00,1,3,.333,0,0,nan,0,0,nan,0,0,0,9,1,0,2,1,2,-16,1
Primoz Brezec,23:00,4,9,.444,0,0,nan,2,2,1.000,3,2,5,0,1,0,1,3,10,-18,1
Keith Bogans,17:00,1,8,.125,0,0,nan,1,2,.500,2,2,4,2,0,0,0,0,3,-14,1
Gerald Wallace,14:00,1,5,.200,0,0,nan,0,2,.000,0,0,0,0,1,0,1,5,2,-6,1
Kareem Rush,32:00,7,15,.467,1,3,.333,4,4,1.000,2,2,4,2,1,0,4,0,19,+4,1
Melvin Ely,24:00,2,5,.400,0,0,nan,2,6,.333,2,1,3,1,0,1,0,6,6,+6,1
Jason Kapono,21:00,6,15,.400,1,5,.200,2,2,1.000,1,6,7,0,2,0,1,0,15,-9,1
Jason Hart,20:00,4,8,.500,1,2,.500,2,2,1.000,0,1,1,7,2,1,0,2,11,+5,1
Jahidi White,15:00,0,1,.000,0,0,nan,0,0,nan,0,4,4,0,0,1,0,0,0,+5,1
Theron Smith,13:00,1,5,.200,1,3,.333,0,0,nan,0,1,1,0,0,0,0,1,3,+4,1
240,38,84,.452,0,12,.000,18,22,.818,20,34,54,22,7,5,15,19,94,nan,240,1
