Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,45:16,13,19,.684,3,4,.750,12,14,.857,0,10,10,8,0,1,3,1,41,+16,0
Mo Williams,38:42,5,15,.333,2,7,.286,4,4,1.000,1,2,3,3,1,0,2,3,16,+3,0
Shaquille O'Neal,24:39,3,4,.750,0,0,nan,5,8,.625,3,8,11,5,0,0,0,2,11,+16,0
Anthony Parker,18:09,1,3,.333,0,1,.000,0,0,nan,0,1,1,0,0,0,1,4,2,+5,0
J.J. Hickson,16:55,2,3,.667,0,0,nan,0,0,nan,0,1,1,0,1,1,0,1,4,-2,0
Delonte West,33:00,3,8,.375,0,2,.000,0,0,nan,1,1,2,3,1,1,0,1,6,+5,0
Anderson Varejao,31:09,5,10,.500,0,0,nan,2,2,1.000,5,3,8,1,2,0,0,4,12,+6,0
Jawad Williams,17:13,3,7,.429,2,5,.400,2,2,1.000,0,2,2,0,1,0,1,2,10,+16,0
Zydrunas Ilgauskas,14:57,2,5,.400,0,1,.000,0,0,nan,1,3,4,2,0,0,0,1,4,-5,0
Team Totals,240,37,74,.500,7,20,.350,25,30,.833,11,31,42,22,6,3,7,19,106,nan,0
Brandon Roy,44:46,14,23,.609,3,7,.429,3,8,.375,0,4,4,3,1,0,2,3,34,-10,1
Andre Miller,40:30,5,11,.455,0,1,.000,4,4,1.000,0,4,4,8,0,0,1,3,14,-7,1
LaMarcus Aldridge,39:52,8,11,.727,0,0,nan,2,4,.500,4,9,13,1,1,0,2,4,18,-6,1
Juwan Howard,38:13,3,7,.429,0,1,.000,0,0,nan,1,3,4,1,0,0,1,5,6,-4,1
Martell Webster,37:20,4,11,.364,2,9,.222,2,2,1.000,1,5,6,2,0,1,1,3,12,+1,1
Jerryd Bayless,14:49,1,6,.167,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,1,4,-9,1
Jeff Ayres,10:38,1,1,1.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,4,2,-11,1
Steve Blake,7:21,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,0,-13,1
Dante Cunningham,6:31,2,3,.667,0,0,nan,0,0,nan,0,0,0,0,0,1,0,0,4,-1,1
240,37,74,.500,7,20,.350,25,30,.833,11,31,42,22,6,3,7,19,106,nan,240,1
