Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Myles Turner,35:35,7,12,.583,1,1,1.000,3,4,.750,1,4,5,0,0,0,3,2,18,-7,0
Thaddeus Young,34:55,4,6,.667,0,0,nan,0,0,nan,2,4,6,1,3,1,1,5,8,-8,0
Darren Collison,33:29,7,11,.636,2,4,.500,0,0,nan,0,5,5,6,1,0,1,0,16,-5,0
Bojan Bogdanovic,31:35,3,6,.500,1,3,.333,1,3,.333,0,3,3,4,1,0,2,2,8,-7,0
Victor Oladipo,28:07,9,18,.500,2,8,.250,2,2,1.000,0,3,3,6,2,0,6,3,22,+11,0
Cory Joseph,25:27,3,6,.500,0,2,.000,0,0,nan,0,2,2,2,1,1,0,3,6,-7,0
Lance Stephenson,23:59,5,9,.556,0,2,.000,0,0,nan,1,3,4,3,0,0,4,3,10,+3,0
Domantas Sabonis,15:59,2,8,.250,0,2,.000,2,2,1.000,1,4,5,0,0,0,0,1,6,+1,0
Trevor Booker,9:28,1,2,.500,0,0,nan,1,1,1.000,0,3,3,0,0,1,0,4,3,+8,0
Glenn Robinson,1:26,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-4,0
Al Jefferson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
T.J. Leaf,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Joe Young,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,41,78,.526,6,22,.273,9,12,.750,5,31,36,22,8,3,17,23,97,nan,0
LeBron James,39:53,17,24,.708,2,5,.400,10,13,.769,1,11,12,5,2,0,3,1,46,+7,1
J.R. Smith,35:00,2,5,.400,0,2,.000,1,2,.500,0,0,0,1,2,1,2,1,5,+8,1
Kevin Love,34:24,5,16,.313,2,6,.333,3,3,1.000,3,5,8,0,0,0,3,1,15,+4,1
Kyle Korver,30:54,4,8,.500,4,8,.500,0,0,nan,0,3,3,1,1,0,0,2,12,+15,1
George Hill,20:01,2,3,.667,1,1,1.000,1,2,.500,0,0,0,3,0,0,2,6,6,+16,1
Larry Nance,24:07,1,1,1.000,0,0,nan,0,2,.000,1,4,5,2,1,1,0,2,2,-11,1
Rodney Hood,15:36,2,5,.400,1,2,.500,0,0,nan,0,0,0,1,0,0,2,1,5,+1,1
Jordan Clarkson,14:00,1,4,.250,0,0,nan,0,0,nan,0,0,0,1,0,0,0,0,2,-7,1
Jose Calderon,13:27,2,4,.500,1,3,.333,0,0,nan,0,0,0,0,1,0,2,4,5,-11,1
Jeff Green,12:37,1,3,.333,0,1,.000,0,0,nan,1,1,2,1,1,0,1,1,2,-7,1
Cedi Osman,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Tristan Thompson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Ante Zizic,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,41,78,.526,6,22,.273,9,12,.750,5,31,36,22,8,3,17,23,97,nan,240,1
