Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Boris Diaw,39:04,8,14,.571,1,2,.500,2,2,1.000,1,5,6,7,3,1,2,1,19,+8,0
Kawhi Leonard,36:58,4,11,.364,0,4,.000,4,6,.667,1,9,10,4,4,0,2,1,12,+3,0
Tim Duncan,34:39,7,17,.412,0,0,nan,5,7,.714,4,6,10,3,2,2,6,4,19,+2,0
Tony Parker,33:34,2,7,.286,0,1,.000,4,6,.667,0,1,1,3,1,0,2,3,8,-1,0
Danny Green,24:37,3,6,.500,2,4,.500,0,0,nan,0,4,4,1,1,0,1,1,8,-1,0
Manu Ginobili,31:18,3,7,.429,0,1,.000,1,2,.500,0,3,3,5,0,0,0,2,7,+1,0
Cory Joseph,17:42,4,5,.800,1,1,1.000,1,2,.500,2,1,3,3,0,0,0,2,10,+4,0
Aron Baynes,13:21,3,4,.750,0,0,nan,0,0,nan,2,1,3,0,0,1,1,4,6,0,0
Austin Daye,8:47,1,3,.333,1,3,.333,0,0,nan,0,2,2,0,0,0,1,2,3,-6,0
Marco Belinelli,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Jeff Ayres,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Matt Bonner,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Kyle Anderson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,35,74,.473,5,16,.313,17,25,.680,10,32,42,26,11,4,15,20,92,nan,0
Kyrie Irving,37:28,7,15,.467,3,4,.750,3,4,.750,1,3,4,3,3,0,2,5,20,+4,1
Anderson Varejao,37:11,11,16,.688,0,1,.000,1,3,.333,1,10,11,0,0,2,3,0,23,+7,1
Kevin Love,35:04,4,12,.333,0,2,.000,2,2,1.000,4,7,11,4,1,1,2,3,10,-5,1
LeBron James,34:06,6,17,.353,2,3,.667,1,1,1.000,3,3,6,9,1,1,5,3,15,-3,1
Shawn Marion,28:54,2,6,.333,1,4,.250,0,0,nan,1,3,4,1,0,0,0,1,5,-9,1
Joe Harris,26:51,2,5,.400,1,3,.333,0,1,.000,0,0,0,1,0,0,2,4,5,-1,1
Dion Waiters,21:07,2,7,.286,0,1,.000,2,2,1.000,0,0,0,3,2,1,1,3,6,+3,1
Tristan Thompson,17:05,3,5,.600,0,0,nan,0,0,nan,0,2,2,1,0,0,0,1,6,-3,1
Will Cherry,2:14,0,0,nan,0,0,nan,0,0,nan,0,0,0,1,0,0,1,1,0,-3,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Mike Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Lou Amundson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,35,74,.473,5,16,.313,17,25,.680,10,32,42,26,11,4,15,20,92,nan,240,1
