Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,39:03,6,14,.429,1,5,.200,6,10,.600,0,7,7,11,3,1,9,3,19,+27,0
Kyrie Irving,34:24,6,16,.375,0,3,.000,6,6,1.000,0,2,2,5,1,0,3,4,18,-3,0
Kevin Love,34:15,8,16,.500,8,14,.571,0,0,nan,0,9,9,3,1,0,0,2,24,-3,0
J.R. Smith,21:59,1,4,.250,0,2,.000,2,2,1.000,1,1,2,2,3,0,0,4,4,0,0
Timofey Mozgov,20:06,5,6,.833,0,0,nan,4,4,1.000,1,5,6,0,0,4,0,3,14,+20,0
Iman Shumpert,30:29,2,10,.200,2,7,.286,2,2,1.000,0,3,3,1,0,0,0,2,8,-7,0
Tristan Thompson,25:44,2,3,.667,0,0,nan,0,0,nan,0,3,3,0,1,0,1,2,4,-7,0
Matthew Dellavedova,16:16,1,3,.333,1,3,.333,0,0,nan,1,3,4,0,0,0,0,2,3,+11,0
James Jones,15:13,2,4,.500,2,3,.667,0,0,nan,1,3,4,0,0,0,0,1,6,+11,0
Kendrick Perkins,2:10,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,1,2,2,-4,0
Joe Harris,0:21,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
Mike Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,34,77,.442,14,37,.378,20,24,.833,4,36,40,22,9,5,14,25,102,nan,0
Reggie Jackson,35:09,7,15,.467,1,4,.250,7,8,.875,1,7,8,9,0,1,2,5,22,+5,1
Andre Drummond,33:58,8,14,.571,0,0,nan,1,6,.167,4,6,10,0,1,1,2,3,17,-5,1
Greg Monroe,33:52,4,13,.308,0,0,nan,4,4,1.000,4,10,14,2,0,0,4,3,12,-13,1
Kentavious Caldwell-Pope,32:52,7,13,.538,5,7,.714,2,3,.667,0,2,2,1,2,0,1,1,21,+6,1
Tayshaun Prince,30:46,2,7,.286,1,3,.333,2,4,.500,1,3,4,0,2,1,1,3,7,0,1
Anthony Tolliver,28:10,2,5,.400,1,4,.250,1,4,.250,1,2,3,1,0,0,0,2,6,0,1
Caron Butler,17:14,1,4,.250,1,2,.500,0,0,nan,0,4,4,3,0,0,0,4,3,-9,1
Jodie Meeks,15:08,1,5,.200,0,2,.000,1,1,1.000,0,1,1,0,0,0,0,0,3,-15,1
Spencer Dinwiddie,9:16,0,4,.000,0,2,.000,0,0,nan,0,0,0,0,0,0,2,0,0,-7,1
John Lucas III,3:35,1,2,.500,0,0,nan,0,0,nan,0,0,0,0,0,0,1,0,2,-7,1
Cartier Martin,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Joel Anthony,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Quincy Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,34,77,.442,14,37,.378,20,24,.833,4,36,40,22,9,5,14,25,102,nan,240,1
