Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kyrie Irving,42:25,10,19,.526,1,3,.333,4,5,.800,0,4,4,3,1,0,2,3,25,-10,0
LeBron James,40:02,9,16,.563,2,8,.250,10,18,.556,0,4,4,8,0,0,4,1,30,-9,0
Kevin Love,39:00,5,13,.385,0,4,.000,4,4,1.000,1,4,5,3,1,1,2,0,14,-2,0
Mike Miller,25:47,2,4,.500,2,4,.500,0,0,nan,0,0,0,0,0,0,1,4,6,-2,0
Shawn Marion,18:32,1,5,.200,0,2,.000,0,0,nan,3,2,5,0,1,0,1,2,2,-12,0
Dion Waiters,28:27,3,8,.375,1,4,.250,1,2,.500,1,5,6,2,3,2,3,1,8,-1,0
Tristan Thompson,26:22,2,5,.400,0,0,nan,2,4,.500,4,5,9,0,1,1,1,2,6,-7,0
Matthew Dellavedova,15:16,0,2,.000,0,1,.000,0,0,nan,2,1,3,0,1,0,1,2,0,-3,0
James Jones,4:09,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-4,0
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Joe Harris,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Alex Kirk,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Lou Amundson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,32,72,.444,6,26,.231,21,33,.636,11,26,37,16,8,4,15,15,91,nan,0
Luol Deng,40:02,11,16,.688,1,3,.333,2,2,1.000,3,5,8,8,0,0,2,4,25,+9,1
Dwyane Wade,36:40,12,28,.429,2,5,.400,5,5,1.000,1,4,5,5,2,1,1,0,31,+5,1
Mario Chalmers,30:56,2,12,.167,1,4,.250,0,0,nan,1,0,1,6,1,0,2,3,5,+4,1
Chris Andersen,29:11,4,5,.800,0,0,nan,4,6,.667,2,6,8,1,2,1,0,5,12,+15,1
Shawne Williams,26:27,2,6,.333,1,5,.200,0,0,nan,2,3,5,1,1,0,0,2,5,0,1
Norris Cole,33:41,2,7,.286,1,2,.500,3,4,.750,1,1,2,5,1,0,4,3,8,+9,1
Danny Granger,22:17,4,5,.800,1,2,.500,0,0,nan,0,7,7,1,0,0,0,4,9,+15,1
Udonis Haslem,12:51,3,4,.750,0,0,nan,0,0,nan,1,3,4,0,1,0,1,3,6,-12,1
Hassan Whiteside,7:55,0,1,.000,0,0,nan,0,0,nan,1,2,3,0,0,1,1,2,0,+5,1
Justin Hamilton,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
James Ennis,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Shabazz Napier,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Andre Dawkins,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,32,72,.444,6,26,.231,21,33,.636,11,26,37,16,8,4,15,15,91,nan,240,1
