Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Lance Stephenson,45:33,3,9,.333,0,4,.000,4,5,.800,3,8,11,5,3,0,3,4,10,-9,0
Roy Hibbert,36:24,7,13,.538,0,0,nan,2,2,1.000,0,2,2,0,1,0,0,3,16,-21,0
David West,34:38,5,8,.625,0,1,.000,3,3,1.000,1,4,5,4,1,0,5,1,13,-18,0
Paul George,32:14,5,13,.385,1,6,.167,6,10,.600,0,2,2,4,1,0,2,4,17,-10,0
George Hill,21:04,2,5,.400,1,3,.333,3,3,1.000,0,2,2,2,0,0,4,5,8,+7,0
C.J. Watson,27:38,2,6,.333,2,4,.500,0,0,nan,0,1,1,1,1,0,1,2,6,-16,0
Rasual Butler,16:47,2,4,.500,2,3,.667,0,0,nan,0,0,0,0,0,0,0,1,6,0,0
Luis Scola,13:22,4,6,.667,0,0,nan,0,0,nan,0,1,1,0,0,0,0,2,8,+6,0
Ian Mahinmi,8:46,1,1,1.000,0,0,nan,1,2,.500,2,2,4,1,0,1,1,0,3,+6,0
Evan Turner,3:34,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,1,0,0,-5,0
Donald Sloan,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Chris Copeland,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Lavoy Allen,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,31,65,.477,6,21,.286,19,25,.760,6,23,29,17,7,1,17,22,87,nan,0
LeBron James,39:46,9,14,.643,1,2,.500,7,9,.778,1,4,5,7,3,0,6,2,26,+21,1
Dwyane Wade,36:51,9,16,.563,2,3,.667,3,4,.750,1,3,4,4,3,1,2,2,23,+9,1
Chris Bosh,23:12,4,12,.333,1,3,.333,0,0,nan,2,2,4,0,1,0,1,5,9,-8,1
Udonis Haslem,17:26,2,4,.500,0,0,nan,0,0,nan,0,5,5,1,0,0,0,4,4,+2,1
Mario Chalmers,13:57,3,4,.750,0,1,.000,0,0,nan,1,0,1,1,0,0,3,2,6,-1,1
Norris Cole,33:02,4,6,.667,1,2,.500,0,0,nan,0,1,1,2,1,0,1,3,9,+15,1
Ray Allen,26:54,4,6,.667,4,4,1.000,4,5,.800,0,1,1,0,1,0,1,1,16,+8,1
Chris Andersen,22:40,1,1,1.000,0,0,nan,1,2,.500,1,6,7,2,0,0,1,3,3,0,1
Rashard Lewis,17:26,0,2,.000,0,1,.000,0,0,nan,0,0,0,0,0,1,0,0,0,+21,1
Shane Battier,7:23,1,3,.333,1,2,.500,0,0,nan,0,1,1,0,0,0,0,2,3,-1,1
Toney Douglas,0:43,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-3,1
James Jones,0:40,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-3,1
Greg Oden,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,31,65,.477,6,21,.286,19,25,.760,6,23,29,17,7,1,17,22,87,nan,240,1
