Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,41:53,14,26,.538,1,2,.500,6,11,.545,1,9,10,4,1,1,2,3,35,+6,0
Larry Hughes,38:46,6,15,.400,1,4,.250,5,6,.833,0,4,4,2,2,0,4,5,18,-2,0
Drew Gooden,29:18,3,6,.500,0,0,nan,3,3,1.000,2,7,9,1,2,1,1,3,9,0,0
Zydrunas Ilgauskas,27:40,4,9,.444,0,0,nan,2,5,.400,2,9,11,1,0,1,1,6,10,+1,0
Eric Snow,24:42,0,3,.000,0,0,nan,0,0,nan,0,2,2,6,0,0,1,3,0,+1,0
Damon Jones,23:47,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,2,+8,0
Anderson Varejao,18:46,1,2,.500,0,0,nan,1,2,.500,1,4,5,2,0,1,2,3,3,+5,0
Donyell Marshall,18:18,3,6,.500,2,3,.667,0,2,.000,0,3,3,0,1,1,0,2,8,+9,0
David Wesley,13:54,1,3,.333,0,0,nan,1,1,1.000,0,2,2,0,0,0,0,2,3,+4,0
Scot Pollard,1:56,0,2,.000,0,0,nan,0,0,nan,2,0,2,0,0,0,0,2,0,+1,0
Sasha Pavlovic,1:00,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+2,0
Team Totals,240,33,74,.446,4,9,.444,18,30,.600,8,41,49,16,6,5,11,29,88,nan,0
Tim Duncan,38:43,8,14,.571,0,0,nan,9,19,.474,1,11,12,5,0,1,5,3,25,-1,1
Bruce Bowen,37:54,1,5,.200,0,0,nan,0,0,nan,0,1,1,3,1,0,0,2,2,-4,1
Tony Parker,35:17,8,16,.500,0,0,nan,5,8,.625,0,5,5,5,0,0,3,0,21,+2,1
Manu Ginobili,30:43,5,11,.455,3,7,.429,1,3,.333,0,4,4,1,0,1,3,3,14,-6,1
Fabricio Oberto,19:27,2,2,1.000,0,0,nan,0,0,nan,2,4,6,0,0,0,0,4,4,-9,1
Robert Horry,19:55,0,4,.000,0,3,.000,0,0,nan,2,6,8,0,0,0,1,5,0,-2,1
Michael Finley,18:55,1,7,.143,1,3,.333,1,2,.500,0,1,1,1,0,0,0,0,4,-8,1
Francisco Elson,14:32,2,3,.667,0,0,nan,0,0,nan,0,2,2,0,0,0,0,4,4,-1,1
Beno Udrih,12:43,2,7,.286,1,2,.500,0,0,nan,0,0,0,0,1,0,0,1,5,-9,1
Brent Barry,11:50,0,0,nan,0,0,nan,2,2,1.000,0,1,1,1,0,0,0,2,2,+3,1
240,33,74,.446,4,9,.444,18,30,.600,8,41,49,16,6,5,11,29,88,nan,240,1
