Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,38:38,7,16,.438,3,6,.500,9,10,.900,0,6,6,11,1,0,4,2,26,+12,0
Kevin Love,31:29,9,17,.529,6,13,.462,4,5,.800,2,3,5,1,2,0,1,1,28,+6,0
Jeff Green,29:16,3,6,.500,0,2,.000,4,5,.800,1,1,2,0,1,1,0,4,10,-2,0
George Hill,19:35,1,4,.250,1,3,.333,2,2,1.000,0,2,2,4,2,0,1,0,5,+6,0
Kyle Korver,16:29,1,4,.250,0,3,.000,0,0,nan,0,5,5,3,1,0,2,3,2,0,0
J.R. Smith,31:31,6,13,.462,4,8,.500,0,0,nan,0,7,7,4,2,0,0,2,16,+13,0
Jordan Clarkson,22:12,5,9,.556,4,6,.667,2,2,1.000,1,0,1,3,0,0,1,2,16,+11,0
Jose Calderon,19:39,1,4,.250,1,4,.250,0,0,nan,1,2,3,1,0,0,0,1,3,-1,0
Larry Nance,18:48,4,6,.667,0,0,nan,2,2,1.000,1,5,6,0,0,1,1,0,10,+9,0
Tristan Thompson,9:08,2,5,.400,0,0,nan,1,2,.500,1,3,4,1,0,0,0,0,5,+5,0
Ante Zizic,1:05,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,2,+2,0
Cedi Osman,1:05,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,+2,0
John Holland,1:05,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+2,0
Team Totals,240,40,85,.471,19,45,.422,24,28,.857,7,35,42,29,9,2,10,15,123,nan,0
Frank Ntilikina,40:02,8,16,.500,1,4,.250,0,0,nan,2,4,6,5,1,1,2,2,17,+4,1
Trey Burke,33:44,5,11,.455,1,5,.200,1,2,.500,0,0,0,8,0,0,3,0,12,-21,1
Lance Thomas,32:02,6,9,.667,2,2,1.000,0,0,nan,1,6,7,1,0,0,0,6,14,-5,1
Kyle O'Quinn,28:50,4,6,.667,0,0,nan,0,0,nan,2,2,4,1,0,2,1,1,8,+4,1
Michael Beasley,26:57,8,13,.615,1,3,.333,3,5,.600,1,3,4,3,3,1,4,3,20,-3,1
Courtney Lee,26:45,7,12,.583,3,6,.500,0,0,nan,1,5,6,1,0,1,1,2,17,-20,1
Damyean Dotson,19:23,4,9,.444,2,7,.286,1,2,.500,0,4,4,3,0,0,1,2,11,-6,1
Luke Kornet,19:10,2,6,.333,1,2,.500,1,3,.333,0,2,2,1,0,2,1,3,6,-17,1
Jarrett Jack,8:15,1,3,.333,0,1,.000,0,0,nan,1,1,2,2,0,0,0,1,2,+7,1
Isaiah Hicks,4:52,1,2,.500,0,0,nan,0,0,nan,0,2,2,1,0,0,1,0,2,-8,1
Tim Hardaway,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,40,85,.471,19,45,.422,24,28,.857,7,35,42,29,9,2,10,15,123,nan,240,1
