Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jameer Nelson,43:07,6,18,.333,3,11,.273,1,1,1.000,1,1,2,14,3,0,6,2,16,+9,0
Nikola Vucevic,42:08,11,16,.688,0,0,nan,3,3,1.000,9,12,21,4,1,0,2,6,25,+9,0
Maurice Harkless,38:52,5,9,.556,2,4,.500,0,0,nan,1,2,3,0,3,2,2,6,12,+8,0
Arron Afflalo,35:09,5,16,.313,0,5,.000,3,3,1.000,0,4,4,5,2,0,2,3,13,-13,0
Andrew Nicholson,16:51,4,5,.800,0,0,nan,0,0,nan,1,1,2,0,0,0,0,1,8,+1,0
Tobias Harris,29:09,6,15,.400,1,3,.333,3,5,.600,2,5,7,1,1,1,3,6,16,+6,0
E'Twaun Moore,17:12,0,1,.000,0,1,.000,0,0,nan,0,1,1,0,0,0,0,2,0,+8,0
DeQuan Jones,6:22,0,2,.000,0,0,nan,0,0,nan,1,2,3,0,0,0,1,1,0,-11,0
Al Harrington,6:19,2,5,.400,0,3,.000,0,0,nan,0,2,2,1,0,0,1,2,4,-12,0
Beno Udrih,4:51,1,2,.500,0,1,.000,0,0,nan,0,0,0,1,0,0,0,1,2,-10,0
Team Totals,240,40,89,.449,6,28,.214,10,12,.833,15,30,45,26,10,3,17,30,96,nan,0
Dwyane Wade,38:39,10,16,.625,0,1,.000,4,4,1.000,3,3,6,3,4,1,2,2,24,+5,1
LeBron James,38:13,7,14,.500,1,6,.167,11,12,.917,0,3,3,2,0,1,2,0,26,+8,1
Chris Bosh,33:22,5,15,.333,0,1,.000,7,8,.875,2,8,10,3,2,2,4,1,17,+5,1
Mario Chalmers,23:05,2,8,.250,1,6,.167,0,0,nan,0,1,1,5,1,0,0,4,5,+1,1
Udonis Haslem,16:51,2,2,1.000,0,0,nan,0,0,nan,1,3,4,0,0,0,0,1,4,-1,1
Shane Battier,28:04,1,3,.333,1,3,.333,0,0,nan,1,5,6,3,1,0,0,2,3,-5,1
Ray Allen,22:59,1,8,.125,1,7,.143,2,2,1.000,0,2,2,1,2,1,1,0,5,+2,1
Norris Cole,20:27,2,3,.667,2,2,1.000,2,4,.500,0,0,0,2,0,0,3,3,8,-4,1
Chris Andersen,14:38,2,3,.667,0,0,nan,1,1,1.000,0,1,1,1,1,1,1,4,5,-4,1
Mike Miller,3:42,0,2,.000,0,2,.000,0,0,nan,0,0,0,0,0,1,1,0,0,-2,1
240,40,89,.449,6,28,.214,10,12,.833,15,30,45,26,10,3,17,30,96,nan,240,1
