Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Paul George,43:04,8,16,.500,2,6,.333,7,8,.875,0,8,8,6,2,0,3,4,25,-7,0
Lance Stephenson,41:05,5,9,.556,1,3,.333,2,2,1.000,0,9,9,2,1,0,2,4,13,-1,0
David West,35:57,8,15,.533,0,0,nan,7,8,.875,1,2,3,2,0,0,2,2,23,-3,0
George Hill,30:54,2,8,.250,1,3,.333,2,2,1.000,2,1,3,1,0,0,1,1,7,+1,0
Roy Hibbert,22:55,2,3,.667,0,0,nan,2,2,1.000,0,2,2,1,0,1,1,5,6,-2,0
Ian Mahinmi,22:46,1,5,.200,0,0,nan,3,4,.750,2,2,4,1,2,1,0,3,5,+2,0
C.J. Watson,17:06,1,6,.167,0,1,.000,0,0,nan,0,2,2,0,3,0,1,0,2,-4,0
Luis Scola,14:22,3,8,.375,0,0,nan,2,2,1.000,0,2,2,0,1,0,3,2,8,-3,0
Rasual Butler,11:51,2,3,.667,1,1,1.000,0,0,nan,1,2,3,0,0,0,1,0,5,+2,0
Orlando Johnson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Chris Copeland,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Donald Sloan,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Solomon Hill,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,32,73,.438,5,14,.357,25,28,.893,6,30,36,13,9,2,14,21,94,nan,0
Dwyane Wade,37:10,15,25,.600,0,1,.000,2,3,.667,1,2,3,1,3,0,2,1,32,-3,1
LeBron James,36:14,8,14,.571,1,3,.333,7,7,1.000,0,9,9,7,3,0,3,3,24,+16,1
Chris Bosh,30:35,5,10,.500,1,3,.333,4,6,.667,0,8,8,2,0,0,2,3,15,+8,1
Mario Chalmers,18:39,1,5,.200,0,4,.000,2,2,1.000,1,0,1,5,2,0,2,4,4,-4,1
Shane Battier,14:46,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,2,0,-4,1
Chris Andersen,27:50,4,5,.800,0,0,nan,0,0,nan,1,3,4,0,0,0,0,4,8,+7,1
Ray Allen,27:01,2,6,.333,1,4,.250,2,2,1.000,1,6,7,3,1,0,0,0,7,-1,1
Norris Cole,24:56,1,6,.167,1,3,.333,0,0,nan,0,1,1,2,0,0,2,0,3,+1,1
Rashard Lewis,15:29,1,5,.200,1,3,.333,0,0,nan,1,1,2,1,2,0,1,1,3,-2,1
Udonis Haslem,7:20,0,0,nan,0,0,nan,1,2,.500,0,2,2,0,0,0,0,2,1,-3,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Roger Mason,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Joel Anthony,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,32,73,.438,5,14,.357,25,28,.893,6,30,36,13,9,2,14,21,94,nan,240,1
