Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
CJ McCollum,36:22,8,17,.471,3,6,.500,0,0,nan,1,4,5,4,0,0,3,3,19,-20,0
Damian Lillard,32:50,8,15,.533,6,9,.667,3,4,.750,0,0,0,6,1,0,7,2,25,-9,0
Evan Turner,32:39,7,14,.500,1,2,.500,0,0,nan,3,5,8,3,0,1,1,6,15,+10,0
Al-Farouq Aminu,32:21,1,7,.143,1,5,.200,2,2,1.000,4,5,9,2,1,0,2,3,5,-16,0
Jusuf Nurkic,28:31,10,12,.833,0,0,nan,3,7,.429,2,5,7,4,2,0,0,3,23,-11,0
Pat Connaughton,16:21,1,4,.250,1,3,.333,2,2,1.000,0,2,2,2,0,1,0,1,5,-5,0
Maurice Harkless,15:40,1,6,.167,1,3,.333,0,0,nan,0,1,1,1,0,1,0,3,3,-20,0
Shabazz Napier,14:10,0,5,.000,0,3,.000,0,0,nan,0,2,2,1,0,0,0,2,0,-10,0
Ed Davis,13:40,2,2,1.000,0,0,nan,1,2,.500,1,2,3,0,1,1,0,4,5,-7,0
Noah Vonleh,5:49,2,4,.500,0,0,nan,2,2,1.000,1,2,3,0,0,0,0,0,6,+1,0
Zach Collins,5:49,2,3,.667,0,0,nan,0,0,nan,0,2,2,0,0,1,0,1,4,+1,0
Jake Layman,5:49,0,1,.000,0,1,.000,0,0,nan,1,0,1,2,0,0,2,1,0,+1,0
Meyers Leonard,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,42,90,.467,13,32,.406,13,19,.684,13,30,43,25,5,5,15,29,110,nan,0
LeBron James,33:49,10,17,.588,0,2,.000,4,4,1.000,1,5,6,8,4,1,3,2,24,0,1
Kevin Love,25:42,5,7,.714,4,5,.800,5,6,.833,1,6,7,0,1,1,3,0,19,0,1
J.R. Smith,24:52,2,3,.667,0,1,.000,2,2,1.000,0,0,0,2,1,0,0,1,6,-2,1
Jae Crowder,23:54,6,12,.500,4,8,.500,1,2,.500,0,2,2,3,2,1,1,2,17,-5,1
Jose Calderon,20:49,0,1,.000,0,1,.000,0,0,nan,0,1,1,3,0,0,1,2,0,+3,1
Jeff Green,25:04,0,5,.000,0,3,.000,10,12,.833,0,4,4,5,2,0,0,2,10,+24,1
Kyle Korver,20:53,3,7,.429,2,3,.667,1,1,1.000,0,2,2,0,0,1,0,2,9,+12,1
Isaiah Thomas,18:56,6,12,.500,3,8,.375,2,4,.500,0,0,0,3,0,0,2,3,17,+17,1
Dwyane Wade,17:54,6,11,.545,0,1,.000,3,4,.750,2,6,8,3,0,0,0,1,15,+20,1
Tristan Thompson,17:28,3,6,.500,0,0,nan,0,2,.000,4,4,8,0,0,0,0,1,6,+19,1
Cedi Osman,5:49,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,-1,1
Channing Frye,4:50,2,2,1.000,0,0,nan,0,0,nan,0,1,1,0,1,0,0,1,4,-2,1
240,42,90,.467,13,32,.406,13,19,.684,13,30,43,25,5,5,15,29,110,nan,240,1
