Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,38:06,9,18,.500,3,4,.750,6,9,.667,0,10,10,5,2,2,6,1,27,+7,0
Kyrie Irving,36:26,11,23,.478,4,9,.444,3,4,.750,0,2,2,6,0,0,2,3,29,+17,0
J.R. Smith,34:37,5,11,.455,5,9,.556,2,2,1.000,0,4,4,0,1,0,0,4,17,+21,0
Kevin Love,33:36,4,12,.333,0,1,.000,6,9,.667,7,9,16,1,1,0,3,4,14,+15,0
Tristan Thompson,23:00,1,4,.250,0,0,nan,0,0,nan,4,3,7,1,1,3,1,3,2,+10,0
Iman Shumpert,26:55,2,4,.500,0,2,.000,2,2,1.000,2,2,4,0,4,0,2,2,6,+1,0
Channing Frye,14:20,3,8,.375,2,4,.500,0,0,nan,0,0,0,1,0,1,1,0,8,-1,0
Mike Dunleavy,12:53,0,3,.000,0,3,.000,0,0,nan,0,0,0,1,0,0,0,2,0,-12,0
Richard Jefferson,10:55,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,0,0,1,0,-1,0
Kay Felder,7:32,1,2,.500,0,0,nan,0,0,nan,0,2,2,0,0,0,0,1,2,-2,0
James Jones,0:50,0,1,.000,0,1,.000,0,0,nan,0,1,1,0,0,0,0,0,0,0,0
Jordan McRae,0:50,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,36,86,.419,14,33,.424,19,26,.731,13,34,47,16,9,6,15,21,105,nan,0
John Wall,35:04,12,24,.500,1,3,.333,3,5,.600,1,1,2,3,2,1,6,3,28,-18,1
Otto Porter,33:36,5,11,.455,1,3,.333,0,0,nan,3,5,8,5,0,1,2,3,11,-11,1
Markieff Morris,33:10,6,14,.429,1,3,.333,7,7,1.000,1,4,5,1,1,1,1,2,20,-10,1
Marcin Gortat,25:42,2,5,.400,0,0,nan,0,2,.000,4,11,15,1,1,0,2,3,4,-15,1
Marcus Thornton,20:43,0,5,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,1,1,2,-13,1
Trey Burke,22:06,4,7,.571,0,0,nan,1,1,1.000,0,2,2,3,0,0,0,0,9,+3,1
Kelly Oubre,21:16,5,8,.625,0,1,.000,0,0,nan,0,6,6,0,1,1,1,4,10,+1,1
Tomas Satoransky,20:08,3,7,.429,0,0,nan,2,2,1.000,1,1,2,2,1,0,1,0,8,0,1
Jason Smith,14:35,0,1,.000,0,0,nan,0,0,nan,0,3,3,0,0,1,1,5,0,+10,1
Sheldon Mac,12:00,1,5,.200,0,3,.000,0,0,nan,0,1,1,0,0,0,0,0,2,-2,1
Danuel House,0:50,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,0,1
Daniel Ochefu,0:50,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
Andrew Nicholson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,36,86,.419,14,33,.424,19,26,.731,13,34,47,16,9,6,15,21,105,nan,240,1
