Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kyrie Irving,37:06,11,20,.550,2,7,.286,2,2,1.000,1,1,2,9,0,1,2,2,26,+19,0
LeBron James,34:50,9,18,.500,1,4,.250,5,8,.625,2,3,5,7,0,2,3,2,24,+6,0
Tristan Thompson,34:04,3,5,.600,0,0,nan,4,6,.667,4,10,14,1,1,0,1,0,10,+21,0
J.R. Smith,33:33,5,10,.500,4,7,.571,3,4,.750,0,2,2,2,2,1,0,4,17,+7,0
Channing Frye,24:25,8,10,.800,5,7,.714,0,0,nan,1,6,7,1,1,0,0,3,21,+23,0
Iman Shumpert,25:46,1,4,.250,0,2,.000,0,0,nan,0,5,5,1,0,0,1,4,2,+3,0
James Jones,18:20,2,5,.400,1,3,.333,0,0,nan,1,1,2,0,0,0,0,0,5,-9,0
Matthew Dellavedova,16:35,4,9,.444,3,5,.600,0,0,nan,0,1,1,1,0,0,1,3,11,-1,0
Timofey Mozgov,12:59,1,3,.333,0,0,nan,0,0,nan,0,0,0,0,0,2,0,2,2,-7,0
Jordan McRae,1:25,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,2,0,0
Sasha Kaun,0:57,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,0
Kevin Love,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Richard Jefferson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,45,85,.529,16,35,.457,14,20,.700,9,29,38,22,4,6,8,20,120,nan,0
Jordan Clarkson,34:24,2,12,.167,0,6,.000,1,1,1.000,0,1,1,1,2,0,0,0,5,-17,1
D'Angelo Russell,33:07,8,19,.421,4,10,.400,4,4,1.000,1,3,4,5,0,0,0,3,24,-1,1
Julius Randle,32:35,6,10,.600,0,0,nan,3,3,1.000,1,8,9,1,2,0,4,4,15,-12,1
Kobe Bryant,32:12,11,16,.688,3,4,.750,1,2,.500,1,4,5,2,1,1,0,1,26,-8,1
Roy Hibbert,15:57,2,2,1.000,0,0,nan,0,0,nan,0,0,0,0,1,0,3,3,4,-11,1
Marcelo Huertas,28:29,6,10,.600,0,1,.000,1,1,1.000,0,3,3,5,1,2,1,4,13,-6,1
Brandon Bass,24:27,5,5,1.000,0,0,nan,2,2,1.000,0,8,8,2,0,1,0,4,12,+8,1
Larry Nance,19:50,0,1,.000,0,0,nan,1,2,.500,0,0,0,1,0,0,0,2,1,+2,1
Metta World Peace,13:38,1,3,.333,0,1,.000,4,6,.667,1,2,3,1,1,0,0,1,6,-7,1
Tarik Black,5:21,1,2,.500,0,0,nan,0,0,nan,0,1,1,0,0,0,2,0,2,-8,1
Robert Sacre,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Ryan Kelly,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Nick Young,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,45,85,.529,16,35,.457,14,20,.700,9,29,38,22,4,6,8,20,120,nan,240,1
