Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
DeMar DeRozan,37:59,11,19,.579,1,4,.250,3,4,.750,1,3,4,7,2,0,1,3,26,-7,0
Kyle Lowry,37:13,5,14,.357,2,8,.250,2,4,.500,0,4,4,9,3,0,1,4,14,+4,0
Amir Johnson,36:57,7,13,.538,0,1,.000,3,5,.600,2,6,8,2,0,3,3,2,17,-8,0
Jonas Valanciunas,34:56,7,8,.875,0,0,nan,3,4,.750,1,4,5,0,0,1,2,2,17,+2,0
Terrence Ross,33:34,3,8,.375,2,6,.333,0,0,nan,0,1,1,1,0,1,0,6,8,-1,0
Patrick Patterson,23:55,5,13,.385,1,1,1.000,0,2,.000,1,6,7,1,0,2,4,4,11,-2,0
John Salmons,21:04,1,2,.500,1,2,.500,1,2,.500,2,1,3,1,0,0,1,2,4,-6,0
Greivis Vasquez,10:46,0,0,nan,0,0,nan,0,0,nan,0,2,2,2,0,0,1,0,0,-9,0
Landry Fields,3:36,0,0,nan,0,0,nan,0,0,nan,0,0,0,1,0,0,0,0,0,+2,0
Chuck Hayes,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Steve Novak,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Julyan Stone,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Austin Daye,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,39,77,.506,7,22,.318,12,21,.571,7,27,34,24,5,7,13,23,97,nan,0
LeBron James,37:47,12,18,.667,0,0,nan,6,7,.857,1,3,4,5,1,0,1,1,30,+1,1
Dwyane Wade,34:40,5,13,.385,0,0,nan,4,4,1.000,2,7,9,3,2,1,1,1,14,+13,1
Chris Bosh,33:08,2,9,.222,0,2,.000,4,4,1.000,3,8,11,1,0,0,1,3,8,+8,1
Mario Chalmers,15:09,2,4,.500,1,1,1.000,0,0,nan,0,1,1,1,2,0,2,3,5,+2,1
Rashard Lewis,11:36,1,2,.500,0,1,.000,0,0,nan,0,0,0,1,0,0,0,4,2,0,1
Norris Cole,30:24,2,5,.400,1,1,1.000,2,2,1.000,0,3,3,1,1,0,1,3,7,-7,1
Ray Allen,25:13,1,7,.143,0,4,.000,4,4,1.000,1,1,2,3,1,0,1,1,6,+1,1
Michael Beasley,20:20,7,12,.583,0,0,nan,3,5,.600,3,1,4,2,1,0,2,2,17,-9,1
Chris Andersen,15:53,2,2,1.000,0,0,nan,0,0,nan,1,3,4,0,0,0,1,6,4,+11,1
Udonis Haslem,9:57,3,7,.429,0,0,nan,0,1,.000,3,1,4,0,0,1,0,0,6,-4,1
Roger Mason,5:53,1,2,.500,1,2,.500,0,0,nan,0,0,0,0,0,0,0,0,3,+9,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Joel Anthony,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,39,77,.506,7,22,.318,12,21,.571,7,27,34,24,5,7,13,23,97,nan,240,1
