Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,40:10,12,20,.600,4,11,.364,2,3,.667,0,7,7,5,2,0,8,2,30,-9,0
Kyrie Irving,37:10,10,23,.435,3,10,.300,5,6,.833,0,3,3,8,0,2,3,4,28,-9,0
Tristan Thompson,33:05,4,4,1.000,0,0,nan,0,0,nan,4,4,8,1,0,3,1,4,8,-23,0
Richard Jefferson,31:10,6,6,1.000,4,4,1.000,0,0,nan,0,3,3,1,0,0,0,3,16,+3,0
Iman Shumpert,29:44,2,9,.222,1,6,.167,2,2,1.000,0,5,5,2,0,2,1,2,7,-7,0
Deron Williams,22:32,2,6,.333,2,4,.500,2,2,1.000,0,5,5,5,0,0,1,3,8,+10,0
J.R. Smith,21:38,1,6,.167,0,4,.000,0,0,nan,0,2,2,2,0,0,0,3,2,-10,0
Channing Frye,14:14,3,4,.750,2,3,.667,0,0,nan,0,4,4,0,1,0,1,0,8,+18,0
Derrick Williams,10:17,2,2,1.000,1,1,1.000,0,0,nan,0,1,1,0,0,0,0,2,5,+2,0
DeAndre Liggins,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Kay Felder,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Kyle Korver,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,42,80,.525,17,43,.395,11,13,.846,4,34,38,24,3,7,15,23,112,nan,0
James Harden,39:48,13,28,.464,4,14,.286,8,12,.667,3,7,10,11,1,1,4,2,38,+23,1
Trevor Ariza,38:58,3,10,.300,2,7,.286,4,5,.800,1,6,7,2,1,0,0,2,12,+4,1
Patrick Beverley,34:00,4,10,.400,3,6,.500,2,4,.500,2,1,3,4,2,0,0,2,13,-3,1
Ryan Anderson,30:13,5,11,.455,4,7,.571,2,2,1.000,2,4,6,2,0,0,0,2,16,-3,1
Clint Capela,26:15,4,8,.500,0,0,nan,0,2,.000,4,7,11,1,1,1,0,3,8,+1,1
Eric Gordon,28:43,4,11,.364,2,8,.250,3,3,1.000,2,1,3,3,1,1,0,0,13,-2,1
Nene Hilario,21:45,6,10,.600,0,0,nan,0,0,nan,4,2,6,0,3,1,1,4,12,+4,1
Lou Williams,15:16,2,7,.286,1,2,.500,0,0,nan,2,4,6,2,1,0,1,0,5,+5,1
Sam Dekker,5:02,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,2,0,-4,1
Kyle Wiltjer,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Montrezl Harrell,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bobby Brown,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,42,80,.525,17,43,.395,11,13,.846,4,34,38,24,3,7,15,23,112,nan,240,1
