Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Dwight Howard,48:54,11,17,.647,0,0,nan,13,16,.813,6,10,16,2,0,4,3,3,35,-1,0
Rashard Lewis,44:15,7,18,.389,3,9,.333,3,4,.750,0,4,4,2,2,0,2,5,20,-6,0
Keith Bogans,43:51,4,8,.500,3,6,.500,0,2,.000,1,4,5,1,1,0,2,3,11,-4,0
Hedo Turkoglu,43:18,5,15,.333,2,7,.286,1,2,.500,1,3,4,5,0,1,2,4,13,+3,0
Jameer Nelson,35:16,8,17,.471,2,6,.333,3,3,1.000,0,7,7,11,2,0,1,2,21,-6,0
Carlos Arroyo,17:44,4,6,.667,0,0,nan,2,2,1.000,0,3,3,3,1,0,1,1,10,+7,0
Keyon Dooling,15:35,1,4,.250,1,2,.500,2,2,1.000,0,1,1,4,0,0,2,1,5,+6,0
Trevor Ariza,12:01,0,0,nan,0,0,nan,0,0,nan,0,2,2,1,0,0,1,2,0,+4,0
Adonal Foyle,4:06,1,1,1.000,0,0,nan,0,0,nan,0,0,0,1,0,0,0,0,2,+2,0
Team Totals,265,41,86,.477,11,30,.367,24,31,.774,8,34,42,30,6,5,14,21,117,nan,0
LeBron James,47:14,15,27,.556,2,4,.500,7,9,.778,4,9,13,14,0,2,4,1,39,+2,1
Drew Gooden,41:58,7,16,.438,0,0,nan,9,10,.900,4,8,12,1,1,2,1,5,23,+6,1
Daniel Gibson,41:27,5,5,1.000,4,4,1.000,2,2,1.000,0,2,2,2,2,0,3,4,16,+4,1
Zydrunas Ilgauskas,36:20,9,17,.529,0,0,nan,0,0,nan,3,8,11,0,0,1,1,6,18,0,1
Larry Hughes,30:22,2,12,.167,0,1,.000,0,0,nan,1,3,4,1,1,0,3,1,4,-4,1
Devin Brown,24:17,2,6,.333,0,0,nan,1,1,1.000,1,2,3,4,2,0,2,2,5,+3,1
Sasha Pavlovic,21:35,4,10,.400,0,3,.000,0,0,nan,2,1,3,2,1,0,1,4,8,-6,1
Damon Jones,11:22,1,5,.200,1,4,.250,0,0,nan,0,2,2,1,0,0,0,0,3,-7,1
Dwayne Jones,10:24,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,1,1,0,2,0,-3,1
265,41,86,.477,11,30,.367,24,31,.774,8,34,42,30,6,5,14,21,117,nan,265,1
