Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Pau Gasol,37:32,9,15,.600,0,0,nan,4,5,.800,4,7,11,4,3,0,1,1,22,-6,0
Kendall Marshall,35:47,2,6,.333,1,3,.333,1,3,.333,0,3,3,11,1,0,3,2,6,-6,0
Jodie Meeks,35:39,7,13,.538,4,6,.667,4,4,1.000,0,0,0,1,2,0,1,1,22,-10,0
Ryan Kelly,25:45,3,10,.300,1,4,.250,0,2,.000,1,4,5,2,1,0,2,3,7,-8,0
Wesley Johnson,18:27,3,6,.500,1,3,.333,0,0,nan,0,1,1,1,1,0,0,2,7,-11,0
Nick Young,33:01,8,20,.400,2,6,.333,1,3,.333,1,2,3,1,3,0,2,4,19,+6,0
Jordan Hill,22:05,4,7,.571,0,0,nan,0,1,.000,5,2,7,0,1,1,1,2,8,+1,0
Manny Harris,21:16,2,7,.286,0,3,.000,3,3,1.000,1,3,4,1,0,0,1,0,7,0,0
Robert Sacre,10:28,2,4,.500,0,0,nan,0,0,nan,1,0,1,0,0,0,0,2,4,-1,0
Xavier Henry,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Jordan Farmar,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Chris Kaman,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Steve Blake,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,40,88,.455,9,25,.360,13,21,.619,13,22,35,21,12,1,11,17,102,nan,0
LeBron James,37:18,9,15,.600,2,4,.500,7,13,.538,2,11,13,6,1,0,5,1,27,+4,1
Chris Bosh,33:36,15,22,.682,1,3,.333,0,0,nan,2,4,6,0,0,1,0,1,31,+12,1
Mario Chalmers,33:26,5,6,.833,1,1,1.000,0,0,nan,0,3,3,3,1,0,3,1,11,+18,1
Ray Allen,28:24,4,8,.500,2,5,.400,0,1,.000,0,4,4,1,1,0,1,3,10,+9,1
Shane Battier,18:49,1,2,.500,1,2,.500,0,3,.000,1,2,3,5,2,0,1,0,3,+8,1
Norris Cole,27:45,4,8,.500,1,2,.500,2,2,1.000,0,1,1,5,1,0,2,3,11,-6,1
Michael Beasley,20:16,3,6,.500,0,1,.000,1,2,.500,0,7,7,4,0,0,3,4,7,-5,1
Chris Andersen,12:53,2,3,.667,0,0,nan,0,0,nan,2,2,4,0,1,1,2,4,4,+3,1
Rashard Lewis,10:42,0,2,.000,0,1,.000,0,0,nan,1,1,2,0,0,1,1,2,0,+3,1
Greg Oden,10:26,2,5,.400,0,0,nan,1,2,.500,4,1,5,0,0,1,0,3,5,-4,1
Roger Mason,6:25,0,1,.000,0,1,.000,0,0,nan,0,0,0,1,0,0,0,1,0,-7,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Udonis Haslem,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,40,88,.455,9,25,.360,13,21,.619,13,22,35,21,12,1,11,17,102,nan,240,1
