Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,33:20,9,19,.474,0,3,.000,4,4,1.000,0,9,9,11,4,2,3,3,22,+21,0
Kevin Love,28:34,7,14,.500,0,4,.000,1,1,1.000,1,7,8,2,0,0,2,2,15,+24,0
Mo Williams,27:56,8,10,.800,2,3,.667,3,3,1.000,0,1,1,3,1,0,2,2,21,+19,0
Timofey Mozgov,22:06,2,7,.286,0,0,nan,2,2,1.000,3,4,7,1,0,4,2,2,6,-1,0
J.R. Smith,4:57,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,2,2,0,-1,0
Matthew Dellavedova,34:22,5,8,.625,1,3,.333,1,2,.500,3,2,5,9,0,0,3,2,12,+8,0
Tristan Thompson,26:18,4,7,.571,0,0,nan,0,2,.000,0,9,9,1,0,3,0,2,8,+5,0
Richard Jefferson,21:43,2,4,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,2,7,-4,0
Jared Cunningham,17:03,1,3,.333,0,0,nan,2,4,.500,0,2,2,0,0,0,0,2,4,-8,0
James Jones,15:03,4,6,.667,4,5,.800,0,0,nan,0,1,1,0,0,0,0,0,12,-5,0
Joe Harris,4:39,0,1,.000,0,1,.000,0,0,nan,0,0,0,1,0,0,0,0,0,-14,0
Anderson Varejao,3:59,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,2,0,0,-9,0
Sasha Kaun,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,42,81,.519,8,22,.364,15,20,.750,7,36,43,28,5,9,16,19,107,nan,0
Nerlens Noel,33:27,7,13,.538,0,0,nan,0,2,.000,3,5,8,2,1,3,4,2,14,-13,1
Isaiah Canaan,30:56,2,8,.250,1,3,.333,2,2,1.000,0,2,2,1,0,0,0,0,7,-19,1
Nik Stauskas,28:31,4,10,.400,3,9,.333,4,4,1.000,0,4,4,1,1,0,2,3,15,-16,1
Jahlil Okafor,26:54,11,21,.524,0,0,nan,2,3,.667,2,1,3,0,0,0,1,4,24,-15,1
Robert Covington,22:27,1,9,.111,0,5,.000,2,2,1.000,0,2,2,0,2,1,2,3,4,-25,1
Hollis Thompson,31:02,3,7,.429,1,4,.250,5,6,.833,1,5,6,4,1,0,1,1,12,+16,1
T.J. McConnell,23:06,3,4,.750,0,0,nan,0,0,nan,1,6,7,12,1,0,0,1,6,+12,1
Jerami Grant,22:59,3,8,.375,0,1,.000,1,2,.500,1,1,2,1,1,0,2,3,7,+6,1
Richaun Holmes,11:13,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,0,0,1,0,1,4,+16,1
Christian Wood,5:05,2,3,.667,1,1,1.000,0,0,nan,0,0,0,1,0,0,0,0,5,+11,1
JaKarr Sampson,4:20,1,1,1.000,0,0,nan,0,0,nan,1,1,2,0,0,0,1,0,2,-8,1
Kendall Marshall,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,42,81,.519,8,22,.364,15,20,.750,7,36,43,28,5,9,16,19,107,nan,240,1
