Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Josh Smith,40:32,8,15,.533,0,0,nan,6,10,.600,1,5,6,2,0,1,2,2,22,-15,0
Joe Johnson,39:08,5,10,.500,1,3,.333,0,0,nan,0,4,4,6,1,0,5,2,11,-18,0
Mike Bibby,35:16,7,10,.700,5,7,.714,0,0,nan,0,4,4,8,2,0,3,3,19,-12,0
Al Horford,25:33,2,4,.500,0,0,nan,0,0,nan,3,5,8,2,1,0,0,1,4,-18,0
Maurice Evans,21:20,2,6,.333,1,2,.500,1,2,.500,0,0,0,0,0,1,0,3,6,-10,0
Ronald Murray,31:41,2,9,.222,0,6,.000,1,2,.500,0,2,2,1,0,0,3,2,5,-22,0
Zaza Pachulia,21:23,2,5,.400,0,0,nan,0,0,nan,1,4,5,0,0,0,2,5,4,-11,0
Marvin Williams,12:52,0,2,.000,0,0,nan,1,2,.500,1,1,2,0,1,0,2,3,1,-16,0
Acie Law,4:29,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-5,0
Solomon Jones,4:29,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-5,0
Mario West,3:17,0,2,.000,0,0,nan,0,2,.000,0,2,2,0,0,0,0,0,0,-3,0
Team Totals,240,28,64,.438,7,18,.389,9,18,.500,6,27,33,19,5,2,17,21,72,nan,0
Delonte West,39:00,5,11,.455,1,2,.500,2,2,1.000,1,3,4,9,2,0,2,0,13,+20,1
Mo Williams,37:11,7,12,.583,4,8,.500,3,4,.750,0,0,0,1,1,0,0,2,21,+20,1
LeBron James,34:19,12,20,.600,2,6,.333,8,9,.889,3,7,10,3,4,0,3,0,34,+13,1
Zydrunas Ilgauskas,26:57,2,9,.222,0,1,.000,3,5,.600,3,0,3,0,1,0,1,2,7,+4,1
Anderson Varejao,26:36,2,8,.250,0,0,nan,0,0,nan,5,4,9,0,2,1,0,4,4,+12,1
Joe Smith,20:24,0,4,.000,0,0,nan,0,2,.000,1,1,2,0,0,1,0,3,0,+20,1
Ben Wallace,15:22,1,1,1.000,0,0,nan,0,0,nan,1,2,3,0,1,0,0,1,2,+12,1
Sasha Pavlovic,12:07,3,5,.600,0,0,nan,1,2,.500,1,2,3,0,1,0,0,0,7,+11,1
Wally Szczerbiak,11:32,2,4,.500,1,2,.500,0,0,nan,0,3,3,2,0,0,0,1,5,+12,1
Daniel Gibson,9:58,2,3,.667,0,1,.000,0,0,nan,0,3,3,0,0,0,1,1,4,+5,1
Tarence Kinsey,3:17,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,2,+3,1
Darnell Jackson,3:17,0,1,.000,0,0,nan,0,0,nan,0,1,1,1,0,0,0,2,0,+3,1
240,28,64,.438,7,18,.389,9,18,.500,6,27,33,19,5,2,17,21,72,nan,240,1
