Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Zydrunas Ilgauskas,40:00,6,17,.353,0,0,nan,3,5,.600,5,4,9,0,0,5,1,1,15,+7,0
Carlos Boozer,38:00,9,14,.643,0,0,nan,3,4,.750,3,12,15,2,1,1,1,4,21,+4,0
LeBron James,38:00,5,19,.263,0,1,.000,2,2,1.000,1,3,4,6,2,0,1,2,12,-1,0
Eric Williams,29:00,4,11,.364,0,1,.000,1,1,1.000,1,1,2,1,3,0,0,3,9,+6,0
Jeff McInnis,27:00,5,9,.556,1,2,.500,0,0,nan,0,2,2,5,0,0,1,4,11,+6,0
Kevin Ollie,21:00,1,2,.500,0,0,nan,2,3,.667,0,1,1,5,0,0,1,0,4,-2,0
DeSagana Diop,18:00,3,7,.429,0,0,nan,1,2,.500,4,6,10,1,0,0,1,3,7,-6,0
Ira Newble,18:00,1,2,.500,0,0,nan,0,0,nan,0,2,2,0,0,1,0,3,2,-5,0
Dajuan Wagner,11:00,1,3,.333,0,0,nan,2,3,.667,0,0,0,1,1,0,2,4,4,+6,0
Team Totals,240,35,84,.417,1,4,.250,14,20,.700,14,31,45,21,7,7,8,24,85,nan,0
Ben Wallace,38:00,2,8,.250,0,0,nan,1,4,.250,7,10,17,2,1,5,0,0,5,-6,1
Tayshaun Prince,36:00,5,9,.556,0,0,nan,3,5,.600,1,6,7,2,2,1,1,2,13,+2,1
Richard Hamilton,35:00,8,18,.444,0,1,.000,2,3,.667,1,1,2,4,0,0,4,4,18,-1,1
Chauncey Billups,34:00,8,15,.533,2,6,.333,1,1,1.000,0,1,1,5,0,1,4,1,19,+2,1
Elden Campbell,25:00,5,14,.357,0,0,nan,0,0,nan,0,7,7,0,0,1,1,4,10,+18,1
Corliss Williamson,18:00,2,7,.286,0,0,nan,4,8,.500,0,3,3,0,0,0,1,1,8,0,1
Chucky Atkins,15:00,1,5,.200,1,2,.500,0,0,nan,0,2,2,2,0,0,1,2,3,-2,1
Zeljko Rebraca,14:00,0,3,.000,0,0,nan,0,0,nan,2,0,2,0,0,1,0,3,0,-17,1
Bob Sura,13:00,2,6,.333,0,0,nan,2,2,1.000,3,2,5,2,0,0,0,0,6,-6,1
Darvin Ham,12:00,0,1,.000,0,0,nan,0,0,nan,1,2,3,0,0,0,0,1,0,-5,1
240,35,84,.417,1,4,.250,14,20,.700,14,31,45,21,7,7,8,24,85,nan,240,1
