Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Luke Babbitt,41:37,6,13,.462,4,8,.500,1,2,.500,0,3,3,2,1,1,0,2,17,+5,0
Taurean Waller-Prince,36:27,6,13,.462,3,6,.500,2,2,1.000,0,5,5,1,1,0,1,4,17,+3,0
Kent Bazemore,35:24,4,11,.364,2,6,.333,4,8,.500,2,7,9,7,1,2,1,3,14,+8,0
Dennis Schroder,30:59,9,13,.692,2,3,.667,8,8,1.000,0,3,3,9,0,0,6,5,28,+9,0
Dewayne Dedmon,22:42,7,10,.700,0,1,.000,1,1,1.000,2,5,7,0,0,0,3,2,15,-3,0
Isaiah Taylor,26:22,6,12,.500,0,1,.000,2,5,.400,0,2,2,3,1,1,3,1,14,-10,0
John Collins,24:09,3,10,.300,0,0,nan,6,8,.750,7,6,13,1,0,2,3,3,12,+15,0
Marco Belinelli,19:21,0,4,.000,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,-14,0
Tyler Cavanaugh,3:00,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-3,0
Malcolm Delaney,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Tyler Dorsey,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Nicolas Brussino,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,41,86,.477,11,25,.440,24,34,.706,11,33,44,24,4,6,17,20,117,nan,0
LeBron James,40:35,10,17,.588,0,3,.000,6,6,1.000,2,3,5,13,1,2,6,4,26,-4,1
J.R. Smith,33:52,2,6,.333,2,4,.500,0,0,nan,0,4,4,3,1,0,0,4,6,-13,1
Jae Crowder,23:21,2,5,.400,0,1,.000,1,2,.500,1,2,3,0,0,0,1,1,5,-22,1
Derrick Rose,19:43,4,12,.333,0,3,.000,2,2,1.000,2,1,3,1,0,1,4,4,10,-27,1
Kevin Love,18:29,1,6,.167,0,2,.000,2,2,1.000,3,1,4,1,3,0,0,4,4,-15,1
Dwyane Wade,32:13,8,19,.421,1,5,.200,8,8,1.000,3,8,11,6,0,1,1,5,25,+23,1
Jeff Green,26:05,4,9,.444,1,2,.500,0,0,nan,1,3,4,2,1,1,0,3,9,+16,1
Kyle Korver,23:39,8,14,.571,5,11,.455,2,3,.667,2,3,5,0,0,1,0,1,23,+23,1
Channing Frye,10:20,3,6,.500,1,4,.250,0,0,nan,0,5,5,1,0,0,1,2,7,+5,1
Cedi Osman,10:00,0,1,.000,0,1,.000,0,0,nan,0,2,2,0,0,0,0,0,0,+8,1
Ante Zizic,1:43,0,1,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,1,0,-4,1
Jose Calderon,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,41,86,.477,11,25,.440,24,34,.706,11,33,44,24,4,6,17,20,117,nan,240,1
