Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,42:41,23,34,.676,2,4,.500,9,9,1.000,5,6,11,7,3,2,3,2,57,+6,0
Jae Crowder,33:59,4,7,.571,1,2,.500,8,8,1.000,2,5,7,1,2,0,1,4,17,+15,0
J.R. Smith,29:49,1,3,.333,1,2,.500,0,0,nan,0,0,0,1,1,0,1,5,3,-1,0
Derrick Rose,28:33,8,16,.500,2,4,.500,2,2,1.000,1,0,1,2,0,0,2,2,20,+5,0
Kevin Love,26:30,2,5,.400,2,5,.400,5,5,1.000,0,8,8,0,1,0,2,3,11,+1,0
Jeff Green,25:16,2,3,.667,1,2,.500,2,4,.500,0,2,2,5,1,0,3,4,7,-4,0
Kyle Korver,20:54,3,6,.500,2,5,.400,0,0,nan,0,0,0,0,2,0,2,3,8,+15,0
Dwyane Wade,14:19,1,4,.250,0,1,.000,0,0,nan,0,3,3,4,1,1,0,1,2,-3,0
Channing Frye,11:26,1,3,.333,1,2,.500,0,0,nan,0,2,2,0,0,0,0,2,3,+3,0
Ante Zizic,6:34,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,1,0,1,2,+3,0
Jose Calderon,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Cedi Osman,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,46,82,.561,12,27,.444,26,28,.929,8,26,34,20,11,4,14,27,130,nan,0
John Wall,38:28,4,13,.308,0,3,.000,5,12,.417,0,6,6,15,1,1,1,0,13,-8,1
Bradley Beal,36:51,12,19,.632,1,5,.200,11,13,.846,2,2,4,4,1,0,4,1,36,-1,1
Otto Porter,30:52,6,10,.600,3,7,.429,0,0,nan,2,3,5,0,0,0,2,4,15,-5,1
Marcin Gortat,28:23,6,7,.857,0,0,nan,3,4,.750,1,4,5,0,1,1,2,2,15,-10,1
Markieff Morris,14:17,1,6,.167,0,2,.000,0,0,nan,1,3,4,3,0,0,1,3,2,-1,1
Kelly Oubre,33:43,7,14,.500,5,7,.714,2,2,1.000,1,5,6,2,1,0,3,4,21,-7,1
Jodie Meeks,21:51,3,5,.600,0,1,.000,0,0,nan,0,0,0,0,1,0,0,1,6,-1,1
Mike Scott,17:19,5,7,.714,2,2,1.000,0,0,nan,0,3,3,0,0,0,1,5,12,-5,1
Ian Mahinmi,11:49,1,2,.500,0,0,nan,0,0,nan,2,1,3,0,0,0,2,4,2,-1,1
Tim Frazier,6:27,0,1,.000,0,1,.000,0,0,nan,0,1,1,1,0,0,0,0,0,-1,1
Jason Smith,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Chris McCullough,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Tomas Satoransky,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,46,82,.561,12,27,.444,26,28,.929,8,26,34,20,11,4,14,27,130,nan,240,1
