Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Mo Williams,37:09,7,15,.467,3,7,.429,2,3,.667,0,4,4,7,1,1,1,2,19,+5,0
LeBron James,36:04,12,22,.545,1,5,.200,0,3,.000,0,10,10,5,1,0,1,3,25,+1,0
Kevin Love,34:49,6,17,.353,3,7,.429,3,3,1.000,4,4,8,4,0,2,2,0,18,+1,0
J.R. Smith,30:27,3,10,.300,0,2,.000,2,4,.500,1,4,5,3,1,0,0,4,8,0,0
Timofey Mozgov,20:54,2,6,.333,0,0,nan,1,2,.500,2,3,5,2,0,2,3,2,5,-1,0
Tristan Thompson,24:55,1,4,.250,0,0,nan,0,0,nan,2,10,12,0,1,0,1,4,2,-6,0
Matthew Dellavedova,20:12,3,8,.375,0,2,.000,0,0,nan,1,3,4,4,0,0,1,1,6,+1,0
Richard Jefferson,16:57,4,7,.571,2,4,.500,0,0,nan,0,0,0,1,1,0,1,3,10,-5,0
Anderson Varejao,11:33,0,1,.000,0,0,nan,2,2,1.000,1,1,2,0,0,1,0,1,2,+9,0
James Jones,3:49,0,2,.000,0,2,.000,0,0,nan,0,0,0,0,0,1,0,1,0,-7,0
Jared Cunningham,3:11,0,2,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-8,0
Sasha Kaun,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Joe Harris,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,38,94,.404,9,29,.310,10,17,.588,11,39,50,26,5,7,10,21,95,nan,0
Jimmy Butler,36:38,6,14,.429,0,2,.000,5,5,1.000,1,4,5,2,2,1,0,1,17,+3,1
Derrick Rose,32:28,8,22,.364,0,2,.000,2,4,.500,0,1,1,5,1,0,2,0,18,-1,1
Pau Gasol,31:33,1,7,.143,0,1,.000,0,0,nan,0,2,2,0,1,6,0,1,2,-8,1
Tony Snell,28:48,4,9,.444,2,5,.400,1,2,.500,0,2,2,0,0,0,1,4,11,-1,1
Nikola Mirotic,25:14,6,11,.545,3,4,.750,4,4,1.000,2,7,9,1,1,0,4,5,19,+9,1
Taj Gibson,22:06,1,3,.333,0,0,nan,3,4,.750,2,8,10,0,0,3,3,6,5,+2,1
Joakim Noah,17:07,0,0,nan,0,0,nan,0,2,.000,2,7,9,4,1,0,1,1,0,+1,1
Doug McDermott,16:12,3,4,.750,1,2,.500,1,2,.500,0,4,4,0,0,0,0,0,8,-2,1
Aaron Brooks,15:32,3,9,.333,0,1,.000,0,0,nan,0,2,2,0,0,0,2,1,6,+3,1
E'Twaun Moore,14:22,5,8,.625,1,2,.500,0,0,nan,0,3,3,1,0,0,0,3,11,+4,1
Bobby Portis,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kirk Hinrich,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Cameron Bairstow,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,38,94,.404,9,29,.310,10,17,.588,11,39,50,26,5,7,10,21,95,nan,240,1
