Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kyle Lowry,40:11,6,18,.333,2,8,.250,2,2,1.000,1,3,4,14,1,0,0,5,16,+1,0
Jonas Valanciunas,36:30,6,7,.857,0,0,nan,6,6,1.000,5,10,15,0,0,0,3,2,18,-5,0
Terrence Ross,27:42,8,13,.615,1,4,.250,1,1,1.000,1,2,3,1,0,0,5,2,18,-1,0
Amir Johnson,24:36,5,10,.500,0,0,nan,0,0,nan,1,1,2,2,0,0,2,4,10,-2,0
Landry Fields,23:15,2,2,1.000,0,0,nan,0,0,nan,0,1,1,2,2,0,1,2,4,+4,0
Patrick Patterson,26:22,5,7,.714,2,2,1.000,0,0,nan,1,3,4,1,0,2,1,0,12,-4,0
James Johnson,21:35,6,13,.462,0,2,.000,0,0,nan,3,1,4,0,1,1,1,5,12,-7,0
Lou Williams,19:45,2,8,.250,1,4,.250,1,1,1.000,0,1,1,4,0,0,1,3,6,+1,0
Greivis Vasquez,12:43,1,3,.333,1,3,.333,0,0,nan,0,0,0,2,0,0,1,0,3,-8,0
Chuck Hayes,7:21,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,1,2,+1,0
Greg Stiemsma,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Tyler Hansbrough,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Bruno Caboclo,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,42,82,.512,7,23,.304,10,10,1.000,12,23,35,26,4,3,15,24,101,nan,0
Kyrie Irving,42:27,5,12,.417,1,5,.200,2,2,1.000,0,1,1,10,2,0,2,3,13,+6,1
LeBron James,41:53,12,21,.571,2,5,.400,9,9,1.000,1,1,2,4,2,2,2,1,35,+7,1
Kevin Love,35:42,6,15,.400,1,5,.200,4,4,1.000,3,6,9,4,0,1,3,0,17,0,1
Anderson Varejao,16:17,4,10,.400,0,0,nan,0,0,nan,3,3,6,1,0,1,1,4,8,-9,1
Shawn Marion,16:00,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,1,0,0,-9,1
Tristan Thompson,33:43,3,5,.600,0,0,nan,2,4,.500,4,4,8,0,0,1,1,3,8,+13,1
Dion Waiters,24:23,7,10,.700,3,5,.600,1,2,.500,0,1,1,2,0,0,1,2,18,0,1
Matthew Dellavedova,21:16,2,4,.500,2,4,.500,0,0,nan,1,2,3,5,0,0,0,2,6,+12,1
James Jones,8:18,0,2,.000,0,2,.000,0,0,nan,0,0,0,1,0,0,0,2,0,0,1
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
A.J. Price,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Joe Harris,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Lou Amundson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,42,82,.512,7,23,.304,10,10,1.000,12,23,35,26,4,3,15,24,101,nan,240,1
