Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jae Crowder,36:14,4,10,.400,0,5,.000,2,2,1.000,1,5,6,2,1,0,1,4,10,+5,0
LeBron James,34:14,14,22,.636,6,11,.545,5,5,1.000,0,1,1,7,3,2,7,1,39,-7,0
Kevin Love,29:54,8,15,.533,5,11,.455,0,0,nan,2,8,10,4,1,0,2,0,21,-9,0
Jose Calderon,23:36,1,3,.333,1,2,.500,3,3,1.000,0,4,4,4,1,0,0,3,6,-6,0
J.R. Smith,17:34,1,3,.333,0,2,.000,0,0,nan,0,0,0,2,0,0,0,3,2,-9,0
Dwyane Wade,26:26,5,10,.500,4,6,.667,0,0,nan,1,3,4,2,2,0,2,2,14,+3,0
Jeff Green,25:01,3,5,.600,0,0,nan,7,9,.778,0,4,4,1,0,1,0,0,13,+1,0
Kyle Korver,23:19,1,7,.143,0,4,.000,0,0,nan,1,1,2,2,0,0,0,4,2,+10,0
Tristan Thompson,18:18,3,4,.750,0,0,nan,3,5,.600,2,3,5,2,1,0,1,3,9,+7,0
Cedi Osman,5:24,0,1,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,1,0,0,-10,0
Channing Frye,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Ante Zizic,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,40,80,.500,16,41,.390,20,24,.833,7,30,37,26,9,3,14,20,116,nan,0
Giannis Antetokounmpo,40:05,8,14,.571,0,0,nan,11,12,.917,1,12,13,8,2,0,3,1,27,+3,1
Khris Middleton,39:54,7,15,.467,1,5,.200,3,4,.750,0,2,2,10,1,0,5,4,18,+2,1
Eric Bledsoe,31:43,10,16,.625,2,5,.400,4,5,.800,2,3,5,2,2,0,3,0,26,+1,1
John Henson,28:30,7,11,.636,0,0,nan,1,2,.500,2,4,6,2,2,1,1,1,15,-2,1
Matthew Dellavedova,10:35,2,4,.500,2,3,.667,0,0,nan,0,0,0,0,1,0,1,3,6,-5,1
Malcolm Brogdon,30:00,5,10,.500,4,7,.571,2,2,1.000,1,2,3,1,1,0,1,1,16,+3,1
Tony Snell,23:06,3,7,.429,2,6,.333,0,0,nan,0,4,4,0,1,0,0,2,8,+4,1
DeAndre Liggins,16:01,0,2,.000,0,2,.000,0,0,nan,0,1,1,1,0,1,0,1,0,+1,1
Thon Maker,14:20,0,0,nan,0,0,nan,1,2,.500,2,3,5,3,1,1,0,4,1,0,1
Sterling Brown,5:46,1,3,.333,0,1,.000,0,0,nan,0,1,1,0,1,0,0,1,2,+8,1
Sean Kilpatrick,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Jason Terry,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Rashad Vaughn,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,40,80,.500,16,41,.390,20,24,.833,7,30,37,26,9,3,14,20,116,nan,240,1
