Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Avery Bradley,37:05,4,12,.333,2,6,.333,2,2,1.000,0,4,4,5,1,0,5,2,12,-18,0
Jae Crowder,36:56,3,11,.273,2,6,.333,4,4,1.000,1,3,4,1,4,1,2,3,12,-5,0
Isaiah Thomas,34:02,9,15,.600,4,6,.667,5,8,.625,1,2,3,4,1,0,0,0,27,+4,0
Jared Sullinger,31:10,8,17,.471,0,1,.000,1,2,.500,7,6,13,1,1,0,0,4,17,+1,0
Amir Johnson,16:43,3,4,.750,0,0,nan,2,5,.400,0,1,1,1,0,0,1,3,8,+2,0
Evan Turner,26:50,5,9,.556,0,0,nan,1,2,.500,0,4,4,3,0,0,2,1,11,-17,0
Marcus Smart,20:56,1,4,.250,1,2,.500,0,0,nan,1,2,3,0,0,0,2,5,3,-14,0
Tyler Zeller,16:50,2,4,.500,0,0,nan,4,4,1.000,0,3,3,0,1,0,1,1,8,-18,0
Jonas Jerebko,15:10,2,3,.667,1,2,.500,0,0,nan,0,2,2,2,0,0,1,3,5,-14,0
James Young,1:26,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,0
Terry Rozier,1:26,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,0
Jordan Mickey,1:26,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,0
Team Totals,240,37,80,.463,10,23,.435,19,27,.704,10,27,37,17,8,1,14,22,103,nan,0
LeBron James,36:00,11,20,.550,1,4,.250,5,9,.556,4,7,11,8,2,1,4,2,28,+4,1
J.R. Smith,34:13,5,15,.333,4,10,.400,0,0,nan,0,3,3,3,0,0,0,1,14,+3,1
Kyrie Irving,30:08,7,13,.538,3,6,.500,3,4,.750,0,3,3,4,0,2,3,5,20,+2,1
Kevin Love,30:04,1,6,.167,0,3,.000,8,9,.889,1,3,4,3,1,0,1,1,10,+8,1
Timofey Mozgov,10:43,4,4,1.000,0,0,nan,2,2,1.000,0,3,3,0,0,0,1,1,10,-7,1
Iman Shumpert,34:42,4,8,.500,2,4,.500,2,2,1.000,6,10,16,4,2,0,2,5,12,+26,1
Matthew Dellavedova,28:05,4,6,.667,0,2,.000,2,3,.667,0,0,0,4,2,1,0,3,10,+26,1
Tristan Thompson,27:32,4,6,.667,0,0,nan,4,5,.800,4,1,5,0,1,0,3,3,12,+15,1
Richard Jefferson,5:41,1,3,.333,0,1,.000,0,0,nan,0,2,2,1,0,0,1,0,2,+4,1
Sasha Kaun,1:26,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,2,+2,1
Jordan McRae,1:26,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+2,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Channing Frye,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,37,80,.463,10,23,.435,19,27,.704,10,27,37,17,8,1,14,22,103,nan,240,1
