Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Larry Hughes,37:23,1,9,.111,0,4,.000,2,2,1.000,0,4,4,6,0,0,6,5,4,+6,0
LeBron James,36:30,12,22,.545,4,6,.667,4,4,1.000,0,8,8,9,3,1,6,5,32,+15,0
Sasha Pavlovic,27:07,3,5,.600,1,2,.500,0,0,nan,0,1,1,1,2,0,3,1,7,-11,0
Drew Gooden,25:46,5,9,.556,0,0,nan,3,4,.750,2,6,8,1,1,0,4,1,13,-10,0
Zydrunas Ilgauskas,18:42,3,7,.429,0,0,nan,0,0,nan,1,4,5,0,1,2,0,2,6,-1,0
Anderson Varejao,29:04,2,3,.667,0,0,nan,2,3,.667,2,8,10,1,0,0,0,2,6,+3,0
Eric Snow,26:07,1,4,.250,0,0,nan,0,0,nan,0,0,0,4,1,0,0,0,2,-9,0
Donyell Marshall,21:25,6,10,.600,5,7,.714,2,2,1.000,2,0,2,0,0,0,1,2,19,+10,0
Shannon Brown,9:28,1,2,.500,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,2,-5,0
Ira Newble,8:28,1,1,1.000,1,1,1.000,0,0,nan,0,1,1,0,0,0,0,1,3,+12,0
Team Totals,240,35,72,.486,11,21,.524,13,15,.867,7,32,39,22,8,3,20,19,94,nan,0
Michael Redd,39:40,12,25,.480,4,6,.667,1,2,.500,1,4,5,4,1,0,2,1,29,+7,1
Andrew Bogut,39:27,5,9,.556,0,0,nan,3,4,.750,4,8,12,0,2,0,3,2,13,+4,1
Charlie Bell,37:12,2,6,.333,1,4,.250,0,2,.000,0,1,1,5,0,0,0,0,5,+5,1
Mo Williams,36:55,3,15,.200,0,3,.000,0,0,nan,0,2,2,9,1,0,3,4,6,-7,1
Brian Skinner,36:01,4,5,.800,0,0,nan,0,0,nan,0,9,9,1,1,1,1,4,8,-2,1
Ruben Patterson,28:00,10,13,.769,0,0,nan,4,4,1.000,1,0,1,2,3,0,1,3,24,-11,1
Charlie Villanueva,19:29,2,9,.222,0,3,.000,0,0,nan,1,2,3,0,0,0,1,1,4,-4,1
Lynn Greer,3:16,1,1,1.000,1,1,1.000,0,0,nan,0,1,1,0,1,0,0,0,3,-2,1
240,35,72,.486,11,21,.524,13,15,.867,7,32,39,22,8,3,20,19,94,nan,240,1
