Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,33:24,7,15,.467,2,5,.400,7,8,.875,2,7,9,7,4,0,2,2,23,+27,0
Joel Anthony,28:01,2,2,1.000,0,0,nan,3,4,.750,2,3,5,0,0,2,1,2,7,+18,0
Chris Bosh,26:24,3,9,.333,0,0,nan,7,8,.875,2,5,7,1,1,0,3,2,13,+11,0
Dwyane Wade,24:06,6,12,.500,0,0,nan,4,4,1.000,1,5,6,3,0,1,1,0,16,+17,0
Mario Chalmers,17:28,2,5,.400,0,2,.000,0,0,nan,0,2,2,2,0,0,1,2,4,+14,0
Norris Cole,30:19,8,12,.667,1,2,.500,3,3,1.000,0,1,1,3,0,0,3,4,20,-3,0
Shane Battier,23:27,3,3,1.000,1,1,1.000,1,2,.500,2,2,4,0,2,1,0,3,8,+15,0
Udonis Haslem,20:08,2,6,.333,0,0,nan,3,4,.750,1,8,9,0,0,0,1,2,7,+16,0
Mike Miller,15:11,1,3,.333,1,3,.333,0,0,nan,0,1,1,1,0,0,1,0,3,+10,0
James Jones,6:44,1,1,1.000,0,0,nan,2,2,1.000,0,1,1,0,0,0,1,1,4,-13,0
Juwan Howard,6:01,0,2,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,4,2,0,-13,0
Mickell Gladness,5:20,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-13,0
Eddy Curry,3:27,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,1,2,0,-11,0
Team Totals,240,35,70,.500,5,13,.385,30,35,.857,11,35,46,17,7,4,19,22,105,nan,0
Paul George,33:44,5,12,.417,0,4,.000,2,4,.500,0,3,3,2,2,0,6,2,12,-14,1
Darren Collison,29:14,4,11,.364,0,3,.000,0,0,nan,0,7,7,3,1,0,1,2,8,-24,1
Roy Hibbert,29:00,5,12,.417,0,0,nan,0,0,nan,2,3,5,1,0,2,1,3,10,-10,1
David West,25:13,4,10,.400,0,0,nan,6,7,.857,0,2,2,1,1,0,1,3,14,-14,1
Danny Granger,11:38,1,4,.250,1,3,.333,0,0,nan,0,1,1,0,0,0,1,1,3,-17,1
Dahntay Jones,30:44,4,7,.571,0,1,.000,2,2,1.000,0,2,2,3,0,0,2,4,10,-2,1
Lance Stephenson,19:41,2,7,.286,0,2,.000,2,3,.667,0,2,2,3,0,0,1,3,6,+7,1
Tyler Hansbrough,19:32,2,3,.667,0,0,nan,7,8,.875,2,2,4,1,0,0,0,4,11,-17,1
A.J. Price,19:00,4,7,.571,1,2,.500,3,3,1.000,1,1,2,1,1,0,0,2,12,+5,1
Lou Amundson,8:55,2,2,1.000,0,0,nan,0,2,.000,0,2,2,0,1,1,0,0,4,+14,1
Jeff Foster,8:00,0,1,.000,0,0,nan,0,0,nan,1,1,2,0,0,0,2,2,0,-16,1
Jeff Ayres,5:20,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,1,1,0,+13,1
240,35,70,.500,5,13,.385,30,35,.857,11,35,46,17,7,4,19,22,105,nan,240,1
