Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jerry Stackhouse,42:00,5,14,.357,1,3,.333,8,11,.727,0,5,5,11,0,0,5,3,19,+20,0
Gilbert Arenas,41:00,8,15,.533,4,6,.667,6,8,.750,0,3,3,7,3,0,2,2,26,+16,0
Kwame Brown,39:00,8,15,.533,0,0,nan,4,7,.571,3,7,10,0,0,2,1,2,20,+13,0
Brendan Haywood,31:00,8,13,.615,0,0,nan,0,1,.000,8,5,13,0,1,3,0,2,16,+19,0
Larry Hughes,7:00,0,4,.000,0,1,.000,0,0,nan,0,1,1,2,0,0,0,0,0,-4,0
Juan Dixon,25:00,4,7,.571,1,2,.500,1,2,.500,1,3,4,2,0,0,2,2,10,+14,0
Jared Jeffries,25:00,2,5,.400,0,0,nan,4,4,1.000,2,7,9,0,2,0,2,1,8,+1,0
Steve Blake,18:00,1,3,.333,1,2,.500,0,0,nan,0,5,5,0,0,0,2,1,3,+10,0
Etan Thomas,7:00,1,2,.500,0,0,nan,0,0,nan,0,2,2,0,0,0,0,1,2,+1,0
Jarvis Hayes,5:00,1,1,1.000,0,0,nan,0,0,nan,1,1,2,0,0,0,1,1,2,0,0
Team Totals,240,38,79,.481,7,14,.500,23,33,.697,15,39,54,22,6,5,15,15,106,nan,0
Carlos Boozer,36:00,9,16,.563,0,0,nan,1,1,1.000,3,5,8,2,0,0,0,4,19,-14,1
Zydrunas Ilgauskas,34:00,6,17,.353,0,0,nan,3,3,1.000,6,5,11,3,0,5,1,3,15,-23,1
LeBron James,34:00,6,16,.375,0,0,nan,2,2,1.000,0,0,0,6,4,1,3,2,14,-24,1
Jeff McInnis,29:00,2,7,.286,0,1,.000,2,3,.667,1,2,3,6,0,1,2,2,6,-19,1
Eric Williams,23:00,5,11,.455,0,1,.000,3,6,.500,0,5,5,0,0,0,1,3,13,-17,1
Ira Newble,27:00,2,7,.286,0,0,nan,0,0,nan,3,1,4,0,1,1,0,3,4,+2,1
Kevin Ollie,18:00,1,3,.333,0,0,nan,0,0,nan,0,4,4,4,2,0,1,2,2,-1,1
DeSagana Diop,18:00,0,1,.000,0,0,nan,0,0,nan,0,1,1,1,0,0,1,3,0,+4,1
Dajuan Wagner,13:00,4,6,.667,2,2,1.000,0,3,.000,1,0,1,0,1,0,0,2,10,+11,1
Jason Kapono,4:00,2,4,.500,1,1,1.000,0,0,nan,1,1,2,0,0,0,0,2,5,-2,1
Kedrick Brown,4:00,0,1,.000,0,1,.000,0,0,nan,0,0,0,1,0,0,0,0,0,-7,1
240,38,79,.481,7,14,.500,23,33,.697,15,39,54,22,6,5,15,15,106,nan,240,1
