Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kirk Hinrich,39:32,8,13,.615,3,4,.750,1,1,1.000,0,2,2,11,2,0,1,1,20,-17,0
Luol Deng,30:26,5,11,.455,0,0,nan,1,2,.500,0,2,2,1,0,1,1,1,11,-18,0
Ben Wallace,27:31,0,2,.000,0,0,nan,2,2,1.000,0,5,5,1,1,1,0,1,2,-6,0
P.J. Brown,25:56,5,12,.417,0,0,nan,1,1,1.000,3,3,6,0,2,0,0,2,11,-12,0
Ben Gordon,23:15,1,10,.100,0,1,.000,0,0,nan,0,2,2,3,0,0,3,2,2,-13,0
Thabo Sefolosha,22:12,2,7,.286,1,2,.500,1,2,.500,0,4,4,3,0,0,1,2,6,-7,0
Andres Nocioni,21:33,7,12,.583,1,4,.250,0,0,nan,0,1,1,2,0,0,2,4,15,-11,0
Chris Duhon,16:19,3,5,.600,2,4,.500,0,0,nan,0,0,0,5,0,1,0,0,8,-8,0
Tyrus Thomas,11:16,4,9,.444,0,1,.000,1,2,.500,1,2,3,0,0,0,0,0,9,-8,0
Malik Allen,10:18,3,6,.500,0,0,nan,0,0,nan,2,0,2,1,0,0,0,1,6,-5,0
Adrian Griffin,5:51,2,2,1.000,0,0,nan,0,0,nan,2,0,2,0,1,0,0,0,4,+5,0
Viktor Khryapa,5:51,0,2,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,1,0,+5,0
Team Totals,240,40,91,.440,7,16,.438,7,10,.700,8,22,30,27,6,3,8,15,94,nan,0
LeBron James,37:50,6,13,.462,0,1,.000,7,8,.875,0,4,4,12,3,2,3,0,19,+26,1
Larry Hughes,28:07,3,8,.375,2,4,.500,0,0,nan,0,3,3,6,0,0,4,2,8,+3,1
Drew Gooden,25:24,10,13,.769,0,0,nan,0,0,nan,0,9,9,3,0,0,1,3,20,0,1
Eric Snow,24:30,1,4,.250,0,0,nan,0,0,nan,1,2,3,5,0,1,2,1,2,+10,1
Zydrunas Ilgauskas,20:41,4,11,.364,0,0,nan,0,0,nan,4,5,9,1,0,1,1,3,8,+2,1
Sasha Pavlovic,24:51,6,9,.667,2,3,.667,2,2,1.000,1,5,6,2,0,1,3,2,16,+14,1
Damon Jones,23:30,3,4,.750,1,1,1.000,0,0,nan,0,1,1,2,0,0,0,1,7,+9,1
Donyell Marshall,23:08,5,7,.714,3,4,.750,2,2,1.000,0,3,3,2,0,0,0,2,15,+18,1
Anderson Varejao,22:36,6,7,.857,0,0,nan,3,4,.750,0,7,7,2,0,0,0,4,15,+19,1
Shannon Brown,5:12,1,3,.333,0,1,.000,0,0,nan,1,0,1,2,0,0,2,0,2,-5,1
David Wesley,4:11,0,0,nan,0,0,nan,1,2,.500,0,1,1,1,0,0,0,1,1,-1,1
240,40,91,.440,7,16,.438,7,10,.700,8,22,30,27,6,3,8,15,94,nan,240,1
