Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Nik Stauskas,37:39,6,10,.600,2,6,.333,0,0,nan,0,3,3,2,1,0,3,2,14,-15,0
Jahlil Okafor,37:04,8,17,.471,0,0,nan,2,3,.667,1,5,6,3,0,0,2,3,18,-13,0
Nerlens Noel,35:41,9,18,.500,0,0,nan,0,0,nan,3,9,12,2,5,2,3,1,18,-7,0
Jerami Grant,27:09,3,5,.600,0,2,.000,2,4,.500,1,3,4,2,0,2,0,3,8,-12,0
T.J. McConnell,24:34,3,6,.500,2,4,.500,0,0,nan,0,1,1,4,1,0,3,1,8,-16,0
Hollis Thompson,25:57,3,6,.500,2,4,.500,0,0,nan,1,7,8,3,0,0,0,2,8,+9,0
Isaiah Canaan,21:31,5,8,.625,3,5,.600,4,4,1.000,0,0,0,4,0,0,1,1,17,+9,0
Richaun Holmes,12:06,1,2,.500,0,0,nan,1,2,.500,1,0,1,2,0,0,1,1,3,+9,0
JaKarr Sampson,10:02,2,3,.667,0,0,nan,1,2,.500,0,2,2,0,1,0,1,4,5,-3,0
Phil Pressey,7:31,1,4,.250,1,2,.500,0,0,nan,0,1,1,1,1,0,2,0,3,+6,0
Christian Wood,0:45,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+3,0
Kendall Marshall,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Robert Covington,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,41,79,.519,10,23,.435,10,15,.667,7,31,38,23,9,4,16,18,102,nan,0
LeBron James,36:20,12,22,.545,3,5,.600,4,6,.667,0,4,4,13,2,0,2,1,31,+24,1
Kevin Love,33:47,5,16,.313,2,10,.200,0,0,nan,5,9,14,2,2,0,5,2,12,+14,1
Mo Williams,30:32,8,12,.667,0,2,.000,0,0,nan,0,2,2,8,2,0,2,2,16,+2,1
Jared Cunningham,20:13,0,1,.000,0,0,nan,0,0,nan,0,1,1,1,1,0,1,2,0,+16,1
Timofey Mozgov,18:51,6,7,.857,0,0,nan,1,2,.500,2,4,6,0,0,0,1,2,13,+12,1
Richard Jefferson,29:04,7,11,.636,3,3,1.000,0,0,nan,0,1,1,2,0,0,2,3,17,-8,1
Matthew Dellavedova,25:54,4,11,.364,1,2,.500,2,2,1.000,0,1,1,1,1,0,2,4,11,-15,1
Tristan Thompson,23:07,1,1,1.000,0,0,nan,1,2,.500,2,9,11,0,0,0,0,2,3,-3,1
James Jones,12:35,1,6,.167,1,4,.250,0,0,nan,2,2,4,2,0,0,1,1,3,-4,1
Anderson Varejao,6:55,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,1,0,1,1,2,-4,1
Joe Harris,2:41,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-4,1
J.R. Smith,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Sasha Kaun,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,41,79,.519,10,23,.435,10,15,.667,7,31,38,23,9,4,16,18,102,nan,240,1
