Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,39:42,12,22,.545,4,9,.444,6,8,.750,0,10,10,4,1,1,2,3,34,+2,0
Tristan Thompson,35:41,4,7,.571,0,0,nan,4,6,.667,1,2,3,1,0,0,0,3,12,-3,0
J.R. Smith,34:41,10,16,.625,5,10,.500,0,0,nan,0,3,3,1,3,0,0,4,25,+9,0
Kyrie Irving,33:53,14,22,.636,1,4,.250,3,5,.600,2,3,5,3,2,1,4,1,32,+6,0
Kevin Love,28:41,4,10,.400,0,1,.000,0,0,nan,5,4,9,0,2,1,2,3,8,+2,0
Iman Shumpert,29:49,2,4,.500,1,3,.333,0,0,nan,1,5,6,3,1,0,0,1,5,+19,0
Matthew Dellavedova,28:15,1,5,.200,1,2,.500,0,0,nan,3,1,4,4,0,0,1,2,3,+1,0
Timofey Mozgov,4:31,1,3,.333,0,0,nan,0,0,nan,1,1,2,0,0,0,1,2,2,-3,0
Richard Jefferson,4:31,0,0,nan,0,0,nan,0,0,nan,0,2,2,0,0,0,0,1,0,-3,0
Jared Cunningham,0:17,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Mo Williams,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Anderson Varejao,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,48,89,.539,12,29,.414,13,19,.684,13,31,44,16,9,3,10,20,121,nan,0
John Wall,40:23,8,19,.421,4,4,1.000,0,2,.000,0,3,3,12,1,0,7,2,20,-5,1
Jared Dudley,34:41,3,7,.429,2,4,.500,4,5,.800,1,4,5,4,1,0,1,3,12,-5,1
Garrett Temple,34:15,7,10,.700,3,5,.600,4,5,.800,0,4,4,1,0,0,0,3,21,+7,1
Otto Porter,33:20,4,7,.571,2,4,.500,2,3,.667,2,5,7,2,2,1,1,3,12,+2,1
Marcin Gortat,30:21,6,9,.667,0,0,nan,0,0,nan,2,4,6,3,2,0,0,2,12,-3,1
Gary Neal,20:45,5,8,.625,1,3,.333,2,3,.667,0,1,1,1,0,0,0,1,13,-16,1
Ramon Sessions,16:15,3,7,.429,1,2,.500,2,2,1.000,0,1,1,6,0,0,1,2,9,-2,1
Nene Hilario,11:48,3,4,.750,0,0,nan,1,4,.250,0,4,4,1,1,0,1,2,7,0,1
Kelly Oubre,10:24,2,4,.500,0,1,.000,0,1,.000,0,1,1,1,0,0,1,0,4,-5,1
Jarell Eddie,7:48,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,0,5,-3,1
Drew Gooden,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
DeJuan Blair,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,48,89,.539,12,29,.414,13,19,.684,13,31,44,16,9,3,10,20,121,nan,240,1
