Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,39:58,17,27,.630,1,4,.250,4,8,.500,0,3,3,5,0,0,2,2,39,-2,0
Sasha Pavlovic,33:40,4,11,.364,1,5,.200,2,2,1.000,0,3,3,3,2,0,2,5,11,+11,0
Daniel Gibson,30:29,3,5,.600,1,3,.333,0,0,nan,0,1,1,4,0,0,3,2,7,+2,0
Drew Gooden,28:55,2,6,.333,0,0,nan,0,0,nan,1,5,6,1,1,0,1,1,4,-3,0
Zydrunas Ilgauskas,18:48,0,3,.000,0,0,nan,0,2,.000,1,2,3,1,1,0,2,3,0,0,0
Anderson Varejao,28:06,4,6,.667,0,0,nan,0,0,nan,4,8,12,0,2,1,1,3,8,0,0
Eric Snow,21:11,0,3,.000,0,0,nan,0,0,nan,0,2,2,3,2,0,1,1,0,-11,0
Donyell Marshall,19:38,7,13,.538,0,3,.000,0,0,nan,2,4,6,1,1,2,0,1,14,-1,0
David Wesley,11:59,1,4,.250,1,2,.500,1,2,.500,0,1,1,1,0,0,1,1,4,-6,0
Shannon Brown,7:16,2,4,.500,1,1,1.000,0,0,nan,1,0,1,0,0,0,0,0,5,-5,0
Team Totals,240,40,82,.488,5,18,.278,7,14,.500,9,29,38,19,9,3,13,19,92,nan,0
Jason Terry,39:47,8,15,.533,2,4,.500,2,2,1.000,1,4,5,5,0,0,3,1,20,-2,1
Dirk Nowitzki,39:07,9,19,.474,0,1,.000,6,6,1.000,2,9,11,7,0,0,2,3,24,+3,1
Josh Howard,38:45,7,15,.467,2,3,.667,1,2,.500,2,8,10,3,1,1,3,2,17,-1,1
Erick Dampier,25:13,3,4,.750,0,0,nan,4,6,.667,4,5,9,0,0,1,2,4,10,-6,1
Greg Buckner,13:53,0,2,.000,0,1,.000,0,0,nan,0,0,0,0,1,1,0,3,0,+12,1
Jerry Stackhouse,31:38,5,11,.455,0,2,.000,0,0,nan,0,2,2,2,1,0,2,1,10,-2,1
DeSagana Diop,22:42,3,4,.750,0,0,nan,2,2,1.000,3,1,4,2,0,4,0,2,8,+12,1
Devin Harris,20:30,2,6,.333,0,0,nan,0,1,.000,0,0,0,2,1,0,1,1,4,-4,1
Austin Croshere,8:25,1,4,.250,0,1,.000,0,0,nan,0,3,3,1,0,0,1,0,2,+3,1
240,40,82,.488,5,18,.278,7,14,.500,9,29,38,19,9,3,13,19,92,nan,240,1
