Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Brandon Knight,33:33,11,19,.579,4,9,.444,0,0,nan,1,5,6,2,1,1,2,3,26,+18,0
Khris Middleton,31:50,3,9,.333,2,5,.400,1,2,.500,2,6,8,3,3,0,2,0,9,+29,0
Giannis Antetokounmpo,29:41,5,11,.455,1,3,.333,3,4,.750,0,8,8,5,1,3,3,1,14,+16,0
Zaza Pachulia,22:39,4,9,.444,0,0,nan,1,2,.500,3,5,8,1,1,0,1,2,9,+8,0
Johnny O'Bryant,13:28,1,5,.200,0,0,nan,0,2,.000,3,0,3,1,1,0,1,1,2,+14,0
Jared Dudley,29:56,4,8,.500,1,2,.500,0,0,nan,2,5,7,1,0,0,0,4,9,+7,0
John Henson,24:30,3,8,.375,0,0,nan,0,0,nan,1,6,7,3,0,1,0,2,6,+5,0
O.J. Mayo,22:56,6,13,.462,3,6,.500,0,0,nan,0,3,3,4,2,1,0,5,15,-5,0
Nate Wolters,16:00,2,3,.667,0,0,nan,0,0,nan,1,2,3,1,1,0,0,0,4,-6,0
Kendall Marshall,15:27,1,5,.200,0,0,nan,0,0,nan,0,1,1,4,0,0,1,0,2,-6,0
Larry Sanders,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Ersan Ilyasova,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Jerryd Bayless,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,40,90,.444,11,25,.440,5,10,.500,13,41,54,25,10,6,10,18,96,nan,0
Kyrie Irving,39:29,9,23,.391,1,7,.143,6,7,.857,0,5,5,4,0,0,3,0,25,0,1
Tristan Thompson,36:45,3,11,.273,0,0,nan,4,4,1.000,7,6,13,2,0,1,2,4,10,-19,1
Mike Miller,32:56,2,8,.250,1,6,.167,0,0,nan,0,8,8,3,2,1,1,4,5,-7,1
Matthew Dellavedova,29:37,3,8,.375,3,5,.600,2,2,1.000,0,4,4,4,0,0,1,2,11,0,1
Brendan Haywood,14:36,2,5,.400,0,0,nan,0,1,.000,3,2,5,0,0,2,1,1,4,-3,1
Dion Waiters,26:39,5,10,.500,0,2,.000,0,0,nan,1,2,3,4,2,0,2,2,10,-9,1
James Jones,23:18,3,8,.375,3,6,.500,0,0,nan,0,5,5,1,0,0,0,2,9,-8,1
Joe Harris,18:46,1,5,.200,0,4,.000,0,0,nan,0,1,1,0,1,1,0,0,2,-16,1
A.J. Price,11:05,1,4,.250,0,1,.000,2,2,1.000,1,2,3,1,0,0,1,0,4,-14,1
Lou Amundson,4:55,0,2,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,1,1,0,-3,1
Alex Kirk,1:54,0,1,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,0,0,-1,1
Shawn Marion,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kevin Love,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,40,90,.444,11,25,.440,5,10,.500,13,41,54,25,10,6,10,18,96,nan,240,1
