Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,34:10,8,12,.667,0,2,.000,2,4,.500,2,4,6,5,0,0,4,1,18,-30,0
Kyrie Irving,27:26,11,22,.500,4,5,.800,7,7,1.000,1,1,2,3,0,0,0,2,33,-7,0
Tristan Thompson,27:26,3,4,.750,0,0,nan,0,0,nan,2,2,4,2,0,1,0,0,6,-7,0
Kevin Love,22:07,3,9,.333,3,7,.429,0,0,nan,1,6,7,1,2,1,0,1,9,-6,0
J.R. Smith,21:13,1,7,.143,1,6,.167,0,0,nan,0,2,2,3,2,0,0,0,3,-9,0
Channing Frye,21:40,1,4,.250,0,1,.000,2,2,1.000,0,5,5,1,0,0,1,4,4,0,0
Deron Williams,20:00,8,10,.800,2,4,.500,1,1,1.000,1,3,4,2,0,1,0,1,19,-5,0
Kyle Korver,19:26,3,9,.333,3,8,.375,0,0,nan,0,1,1,1,0,0,1,2,9,-16,0
Iman Shumpert,17:17,2,2,1.000,1,1,1.000,0,0,nan,0,3,3,2,0,1,2,0,5,-1,0
Richard Jefferson,16:01,0,1,.000,0,1,.000,0,0,nan,0,2,2,2,0,0,1,1,0,0,0
Derrick Williams,6:42,1,2,.500,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,2,+6,0
DeAndre Liggins,3:54,0,1,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,1,0,0,+5,0
James Jones,2:38,2,2,1.000,1,1,1.000,0,0,nan,0,1,1,0,0,0,0,0,5,+5,0
Team Totals,240,43,85,.506,15,37,.405,12,14,.857,7,31,38,22,4,4,10,12,113,nan,0
Wilson Chandler,40:35,8,14,.571,1,4,.250,1,1,1.000,0,5,5,3,1,0,2,1,18,+21,1
Gary Harris,31:48,8,14,.571,3,6,.500,2,2,1.000,0,3,3,4,0,0,0,2,21,-4,1
Nikola Jokic,28:39,8,10,.800,0,0,nan,0,0,nan,2,8,10,7,0,0,3,2,16,+5,1
Jameer Nelson,28:09,1,6,.167,1,3,.333,0,0,nan,0,1,1,9,1,0,0,3,3,0,1
Mason Plumlee,26:28,4,10,.400,0,0,nan,4,4,1.000,3,4,7,4,1,0,1,2,12,+1,1
Will Barton,32:43,8,14,.571,3,6,.500,1,1,1.000,0,4,4,2,2,0,0,2,20,+11,1
Jamal Murray,19:51,5,11,.455,3,7,.429,2,2,1.000,0,0,0,3,0,0,0,2,15,+13,1
Kenneth Faried,18:51,8,15,.533,0,0,nan,1,1,1.000,4,5,9,1,2,0,0,2,17,+15,1
Juan Hernangomez,11:45,1,2,.500,0,0,nan,2,2,1.000,1,3,4,1,0,0,0,0,4,+6,1
Darrell Arthur,1:11,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,-3,1
Mike Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Roy Hibbert,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Emmanuel Mudiay,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,43,85,.506,15,37,.405,12,14,.857,7,31,38,22,4,4,10,12,113,nan,240,1
