Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,42:55,12,23,.522,1,3,.333,6,10,.600,2,5,7,8,3,2,4,4,31,+8,0
Zydrunas Ilgauskas,29:37,4,6,.667,0,0,nan,1,2,.500,3,4,7,1,4,0,5,3,9,+6,0
Drew Gooden,29:23,3,6,.500,0,0,nan,4,6,.667,5,2,7,0,0,1,0,2,10,+6,0
Eric Snow,28:53,5,11,.455,0,0,nan,3,4,.750,0,3,3,8,0,0,2,2,13,+13,0
Shannon Brown,12:52,2,6,.333,0,1,.000,0,0,nan,1,0,1,1,0,0,0,4,4,0,0
Damon Jones,32:36,6,8,.750,3,4,.750,0,0,nan,0,2,2,1,0,0,1,2,15,+6,0
Donyell Marshall,20:38,3,6,.500,1,2,.500,2,2,1.000,1,6,7,0,0,0,1,1,9,+12,0
Daniel Gibson,17:59,3,6,.500,2,4,.500,0,0,nan,0,3,3,0,0,0,0,3,8,+11,0
Anderson Varejao,16:12,3,4,.750,0,0,nan,1,5,.200,1,3,4,1,0,0,2,0,7,0,0
Sasha Pavlovic,5:07,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,+5,0
Ira Newble,3:49,0,2,.000,0,2,.000,0,0,nan,0,1,1,0,0,0,0,0,0,-12,0
Team Totals,240,41,78,.526,7,16,.438,17,29,.586,13,29,42,20,7,3,15,22,106,nan,0
Joe Johnson,44:23,12,23,.522,1,5,.200,6,8,.750,0,5,5,4,0,1,1,0,31,-9,1
Zaza Pachulia,37:49,7,10,.700,0,0,nan,6,8,.750,3,8,11,2,2,1,0,5,20,-1,1
Speedy Claxton,22:50,2,5,.400,0,1,.000,1,2,.500,0,2,2,4,3,1,4,3,5,-9,1
Josh Smith,17:24,2,4,.500,0,0,nan,4,5,.800,3,1,4,0,0,0,2,3,8,-9,1
Shelden Williams,14:49,0,4,.000,0,0,nan,0,0,nan,1,2,3,0,0,0,0,4,0,-12,1
Tyronn Lue,34:13,3,8,.375,1,1,1.000,10,11,.909,0,3,3,5,0,0,0,1,17,-4,1
Salim Stoudamire,25:10,4,9,.444,2,4,.500,0,0,nan,0,2,2,0,0,0,2,1,10,-2,1
Matt Freije,21:37,0,6,.000,0,2,.000,0,0,nan,0,0,0,0,0,0,1,4,0,-1,1
Lorenzen Wright,16:55,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,1,0,1,4,2,-2,1
Solomon Jones,4:50,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,1,0,0,0,2,-6,1
240,41,78,.526,7,16,.438,17,29,.586,13,29,42,20,7,3,15,22,106,nan,240,1
