Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Terry Rozier,39:45,10,16,.625,6,10,.600,2,2,1.000,0,3,3,7,2,0,1,3,28,-12,0
Jayson Tatum,39:04,7,13,.538,1,3,.333,0,0,nan,0,3,3,2,1,0,2,3,15,-8,0
Al Horford,37:20,2,8,.250,0,2,.000,2,4,.500,2,7,9,4,0,1,2,3,6,-14,0
Jaylen Brown,33:58,11,18,.611,2,5,.400,3,6,.500,1,2,3,1,0,0,0,3,27,-11,0
Aron Baynes,18:56,0,1,.000,0,1,.000,0,0,nan,0,4,4,2,0,0,1,2,0,-11,0
Marcus Smart,32:32,4,7,.571,1,4,.250,1,2,.500,1,2,3,8,1,1,3,1,10,-4,0
Marcus Morris,30:00,3,10,.300,2,3,.667,2,4,.500,1,1,2,1,0,0,2,2,10,-7,0
Greg Monroe,5:32,1,1,1.000,0,0,nan,0,0,nan,0,2,2,0,1,0,2,1,2,+8,0
Semi Ojeleye,0:58,0,0,nan,0,0,nan,1,2,.500,0,1,1,0,0,0,0,0,1,+3,0
Guerschon Yabusele,0:58,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,+3,0
Abdel Nader,0:58,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+3,0
Shane Larkin,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,38,74,.514,12,28,.429,11,20,.550,5,26,31,25,5,2,13,18,99,nan,0
LeBron James,46:06,17,33,.515,5,7,.714,7,11,.636,3,8,11,9,3,1,3,2,46,+15,1
J.R. Smith,38:08,2,7,.286,1,5,.200,0,0,nan,0,3,3,0,0,1,0,4,5,-1,1
George Hill,33:47,7,12,.583,0,3,.000,6,6,1.000,2,1,3,3,2,1,1,1,20,-1,1
Tristan Thompson,22:42,1,2,.500,0,0,nan,0,0,nan,1,3,4,1,0,2,1,2,2,+4,1
Kevin Love,5:02,0,3,.000,0,1,.000,0,0,nan,2,2,4,0,0,0,0,1,0,-4,1
Jeff Green,31:21,4,10,.400,1,3,.333,5,5,1.000,0,3,3,2,0,2,2,2,14,+10,1
Kyle Korver,26:10,2,6,.333,2,3,.667,0,0,nan,0,3,3,0,1,2,2,4,6,+8,1
Larry Nance,21:34,5,5,1.000,0,0,nan,0,0,nan,4,3,7,1,2,0,0,1,10,+10,1
Jordan Clarkson,14:13,3,9,.333,0,1,.000,0,0,nan,3,2,5,0,0,0,0,2,6,+11,1
Cedi Osman,0:57,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-2,1
Jose Calderon,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Rodney Hood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Ante Zizic,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,38,74,.514,12,28,.429,11,20,.550,5,26,31,25,5,2,13,18,99,nan,240,1
