Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
DeMar DeRozan,35:25,6,16,.375,0,3,.000,9,10,.900,1,2,3,5,0,0,0,3,21,-10,0
Kyle Lowry,32:38,7,10,.700,6,9,.667,4,4,1.000,0,4,4,7,0,0,0,4,24,-9,0
Serge Ibaka,23:12,2,8,.250,0,4,.000,2,2,1.000,0,4,4,2,0,0,1,4,6,-6,0
Jonas Valanciunas,20:11,6,6,1.000,1,1,1.000,2,3,.667,2,6,8,2,0,1,1,1,15,+6,0
OG Anunoby,15:26,2,4,.500,1,1,1.000,0,0,nan,0,0,0,1,0,0,1,3,5,-5,0
Fred VanVleet,29:13,6,13,.462,4,9,.444,0,0,nan,0,1,1,5,3,0,0,2,16,0,0
Jakob Poeltl,26:41,8,13,.615,0,0,nan,1,2,.500,7,1,8,1,1,1,2,2,17,-6,0
Pascal Siakam,26:15,4,9,.444,1,3,.333,0,0,nan,0,2,2,4,0,1,0,3,9,-3,0
Delon Wright,20:45,4,6,.667,2,3,.667,2,2,1.000,0,2,2,5,0,2,0,0,12,+12,0
Norman Powell,10:14,2,3,.667,0,1,.000,0,0,nan,0,1,1,0,0,0,1,1,4,+6,0
Lorenzo Brown,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Malcolm Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Lucas Nogueira,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,47,88,.534,15,34,.441,20,23,.870,10,23,33,32,4,5,6,23,129,nan,0
LeBron James,39:24,11,19,.579,1,3,.333,12,14,.857,1,6,7,17,1,0,0,2,35,+12,1
Jeff Green,37:57,4,9,.444,2,4,.500,5,6,.833,0,2,2,1,0,1,1,5,15,+4,1
George Hill,35:53,10,11,.909,2,2,1.000,0,0,nan,0,4,4,0,1,2,2,4,22,+3,1
Kevin Love,29:44,8,15,.533,4,6,.667,3,4,.750,1,11,12,4,1,0,1,1,23,+4,1
Jose Calderon,27:09,5,7,.714,4,4,1.000,0,0,nan,0,1,1,4,0,0,2,2,14,+8,1
J.R. Smith,27:29,4,6,.667,2,3,.667,0,0,nan,1,4,5,1,0,1,1,2,10,+3,1
Jordan Clarkson,20:48,2,7,.286,0,2,.000,0,0,nan,0,0,0,1,0,0,1,2,4,-10,1
Ante Zizic,15:37,2,3,.667,0,0,nan,2,2,1.000,0,1,1,0,0,0,1,0,6,+2,1
John Holland,5:59,1,1,1.000,0,0,nan,1,2,.500,1,0,1,0,0,0,0,0,3,-11,1
London Perrantes,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Rodney Hood,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,47,88,.534,15,34,.441,20,23,.870,10,23,33,32,4,5,6,23,129,nan,240,1
