Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Ish Smith,30:04,3,7,.429,0,1,.000,0,0,nan,0,3,3,6,1,0,0,2,6,-4,0
Andre Drummond,29:47,5,5,1.000,0,0,nan,5,5,1.000,1,8,9,1,2,1,3,5,15,-11,0
Blake Griffin,29:00,10,22,.455,3,5,.600,2,5,.400,2,6,8,5,1,0,1,1,25,-15,0
Reggie Bullock,29:00,4,10,.400,3,7,.429,0,0,nan,0,1,1,1,0,2,1,2,11,-15,0
James Ennis,28:27,1,8,.125,1,5,.200,0,0,nan,0,0,0,0,1,2,1,3,3,-13,0
Stanley Johnson,28:19,3,9,.333,1,3,.333,2,4,.500,0,3,3,1,2,0,1,3,9,-16,0
Anthony Tolliver,19:17,3,5,.600,2,4,.500,0,0,nan,1,4,5,0,0,0,0,2,8,-11,0
Dwight Buycks,13:09,1,7,.143,0,4,.000,0,0,nan,0,2,2,1,0,0,1,2,2,-16,0
Eric Moreland,12:43,1,5,.200,0,0,nan,1,1,1.000,2,4,6,0,1,1,1,1,3,-5,0
Langston Galloway,10:19,1,5,.200,0,1,.000,0,0,nan,0,0,0,0,1,0,0,0,2,-2,0
Henry Ellenson,5:13,0,2,.000,0,2,.000,0,0,nan,1,1,2,2,0,0,1,0,0,-2,0
Luke Kennard,4:42,2,2,1.000,2,2,1.000,0,0,nan,1,0,1,0,0,0,1,1,6,0,0
Jameer Nelson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,34,87,.391,12,34,.353,10,15,.667,8,32,40,17,9,6,11,22,90,nan,0
Larry Nance,31:54,9,15,.600,0,1,.000,4,5,.800,4,11,15,1,2,0,0,2,22,+15,1
Rodney Hood,30:04,4,12,.333,0,2,.000,5,5,1.000,1,2,3,2,1,1,0,1,13,+19,1
LeBron James,28:44,11,17,.647,5,7,.714,4,6,.667,2,5,7,7,1,0,3,2,31,+14,1
George Hill,23:25,1,5,.200,0,1,.000,1,1,1.000,2,1,3,5,0,0,0,2,3,+9,1
J.R. Smith,21:42,0,3,.000,0,1,.000,0,0,nan,0,0,0,3,0,0,2,0,0,+4,1
Kyle Korver,23:20,4,7,.571,3,6,.500,0,0,nan,0,6,6,3,0,0,1,2,11,+20,1
Cedi Osman,22:44,5,11,.455,2,6,.333,0,0,nan,0,6,6,2,0,0,5,1,12,+9,1
Jordan Clarkson,19:53,5,10,.500,1,5,.200,0,0,nan,0,6,6,2,1,0,2,2,11,+13,1
Ante Zizic,16:06,3,3,1.000,0,0,nan,0,0,nan,1,5,6,2,1,1,0,3,6,+7,1
Jose Calderon,15:33,1,3,.333,1,3,.333,0,0,nan,0,0,0,1,1,0,1,3,3,0,1
John Holland,4:42,0,2,.000,0,1,.000,0,0,nan,1,0,1,0,1,0,0,0,0,0,1
London Perrantes,1:53,0,0,nan,0,0,nan,0,0,nan,0,0,0,1,0,0,0,0,0,0,1
240,34,87,.391,12,34,.353,10,15,.667,8,32,40,17,9,6,11,22,90,nan,240,1
