Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,39:47,7,19,.368,1,5,.200,8,14,.571,2,9,11,12,2,0,4,1,23,+2,0
Mo Williams,39:41,4,14,.286,2,4,.500,6,7,.857,2,4,6,2,1,0,3,5,16,-14,0
Anthony Parker,38:27,4,12,.333,2,3,.667,2,2,1.000,0,5,5,1,0,1,3,3,12,-7,0
Shaquille O'Neal,24:59,6,12,.500,0,0,nan,0,3,.000,4,3,7,0,0,0,1,4,12,-25,0
Anderson Varejao,24:52,0,5,.000,0,0,nan,2,2,1.000,1,3,4,0,0,1,0,5,2,-2,0
Daniel Gibson,34:11,4,10,.400,4,8,.500,0,1,.000,1,2,3,3,1,0,2,3,12,+12,0
Jamario Moon,19:17,2,5,.400,0,2,.000,5,6,.833,1,5,6,1,0,0,0,0,9,-6,0
Zydrunas Ilgauskas,13:24,2,5,.400,0,0,nan,0,0,nan,2,3,5,0,0,0,1,3,4,-8,0
J.J. Hickson,5:22,0,1,.000,0,0,nan,1,2,.500,0,2,2,0,0,0,0,3,1,-2,0
Team Totals,240,29,83,.349,9,22,.409,24,37,.649,13,36,49,19,4,2,14,27,91,nan,0
Chris Bosh,39:44,6,17,.353,0,0,nan,9,12,.750,4,12,16,2,0,0,3,5,21,+9,1
Hedo Turkoglu,34:09,3,7,.429,1,4,.250,5,6,.833,1,6,7,3,0,3,1,3,12,+6,1
Jose Calderon,31:12,1,6,.167,0,1,.000,3,5,.600,0,3,3,11,1,0,3,5,5,+1,1
Andrea Bargnani,29:32,11,15,.733,2,3,.667,4,4,1.000,0,5,5,1,1,1,3,5,28,+11,1
DeMar DeRozan,23:35,3,6,.500,0,1,.000,2,2,1.000,0,5,5,1,1,1,1,2,8,+11,1
Jarrett Jack,31:02,2,9,.222,0,3,.000,2,4,.500,0,4,4,3,1,0,1,3,6,-9,1
Marco Belinelli,19:21,4,8,.500,1,2,.500,1,2,.500,0,1,1,1,0,0,0,0,10,+19,1
Antoine Wright,18:01,2,5,.400,1,2,.500,0,0,nan,0,4,4,1,0,1,1,5,5,-8,1
Rasho Nesterovic,7:13,2,2,1.000,0,0,nan,0,0,nan,1,1,2,0,0,0,0,1,4,+4,1
Amir Johnson,5:45,0,0,nan,0,0,nan,2,2,1.000,1,0,1,0,0,0,0,1,2,+6,1
Marcus Banks,0:26,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
240,29,83,.349,9,22,.409,24,37,.649,13,36,49,19,4,2,14,27,91,nan,240,1
