Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,33:13,7,14,.500,1,2,.500,13,15,.867,0,12,12,11,3,2,5,2,28,+23,0
Jeff Green,27:29,4,12,.333,1,3,.333,2,2,1.000,0,4,4,1,3,3,1,3,11,+18,0
George Hill,26:51,3,9,.333,2,6,.333,2,2,1.000,0,3,3,2,2,0,2,3,10,+20,0
Kyle Korver,23:15,6,7,.857,5,6,.833,5,5,1.000,0,4,4,1,0,0,2,4,22,+22,0
Larry Nance,14:28,2,4,.500,0,0,nan,0,0,nan,0,2,2,0,0,1,1,1,4,+17,0
John Holland,28:04,1,7,.143,0,3,.000,0,0,nan,2,5,7,2,0,2,2,3,2,+10,0
Jordan Clarkson,26:46,8,14,.571,6,10,.600,1,2,.500,0,0,0,1,2,0,2,1,23,-3,0
J.R. Smith,22:04,5,12,.417,2,4,.500,2,2,1.000,2,3,5,1,1,0,1,2,14,+10,0
Jose Calderon,17:05,1,2,.500,0,1,.000,0,0,nan,0,2,2,5,1,0,0,2,2,-8,0
Ante Zizic,14:32,5,5,1.000,0,0,nan,1,2,.500,1,3,4,1,0,1,3,3,11,+3,0
London Perrantes,6:13,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,1,2,-2,0
Team Totals,240,43,87,.494,17,35,.486,26,30,.867,5,39,44,25,12,9,19,25,129,nan,0
Josh Jackson,34:50,6,15,.400,1,3,.333,6,8,.750,0,3,3,1,4,1,2,3,19,-20,1
Devin Booker,33:59,7,16,.438,0,3,.000,3,3,1.000,1,2,3,6,1,0,5,3,17,-27,1
T.J. Warren,32:30,8,17,.471,0,1,.000,3,4,.750,5,5,10,0,0,0,0,3,19,-21,1
Dragan Bender,23:34,2,9,.222,1,5,.200,2,2,1.000,1,4,5,3,0,1,1,2,7,-24,1
Elfrid Payton,23:21,4,10,.400,0,3,.000,2,3,.667,0,4,4,7,1,0,5,1,10,-20,1
Jared Dudley,20:13,1,4,.250,1,3,.333,2,2,1.000,0,9,9,0,2,0,1,3,5,+5,1
Troy Daniels,17:22,3,7,.429,3,7,.429,0,0,nan,0,1,1,0,0,0,0,1,9,-7,1
Marquese Chriss,17:19,1,4,.250,0,0,nan,3,4,.750,3,2,5,0,0,0,3,2,5,+4,1
Tyler Ulis,14:50,0,6,.000,0,3,.000,2,2,1.000,1,2,3,0,1,0,1,1,2,+2,1
Shaquille Harrison,11:04,4,6,.667,0,2,.000,2,2,1.000,0,1,1,0,1,0,0,1,10,-3,1
Davon Reed,6:13,1,3,.333,0,2,.000,0,0,nan,0,1,1,0,0,0,0,0,2,+2,1
Alex Len,4:45,1,1,1.000,0,0,nan,0,0,nan,0,2,2,0,0,0,0,1,2,-1,1
Tyson Chandler,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,43,87,.494,17,35,.486,26,30,.867,5,39,44,25,12,9,19,25,129,nan,240,1
