Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Arron Afflalo,40:19,7,17,.412,2,6,.333,2,2,1.000,1,6,7,5,1,0,2,4,18,-6,0
Jameer Nelson,37:40,4,10,.400,2,6,.333,2,2,1.000,0,3,3,6,2,0,5,0,12,-12,0
Maurice Harkless,33:29,2,8,.250,1,3,.333,0,2,.000,2,4,6,0,1,1,2,5,5,-11,0
Nikola Vucevic,31:19,5,9,.556,0,0,nan,1,2,.500,3,6,9,1,1,1,2,4,11,-8,0
Victor Oladipo,27:05,4,8,.500,1,3,.333,8,9,.889,1,6,7,4,0,0,1,2,17,-1,0
Glen Davis,26:14,7,13,.538,0,0,nan,6,8,.750,2,3,5,1,2,0,2,4,20,+2,0
E'Twaun Moore,21:57,5,5,1.000,4,4,1.000,0,0,nan,0,1,1,1,0,0,2,1,14,+13,0
Andrew Nicholson,18:58,0,3,.000,0,1,.000,2,4,.500,1,2,3,1,1,1,0,3,2,+9,0
Solomon Jones,2:59,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+4,0
Kyle O'Quinn,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Jason Maxiell,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Ronnie Price,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Doron Lamb,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,34,73,.466,10,23,.435,21,29,.724,10,31,41,19,8,3,16,23,99,nan,0
LeBron James,37:35,7,13,.538,3,6,.500,5,7,.714,0,9,9,7,3,0,3,0,22,+7,1
Dwyane Wade,34:11,9,16,.563,0,0,nan,9,10,.900,1,3,4,4,1,0,1,2,27,+6,1
Chris Bosh,31:19,6,13,.462,0,1,.000,3,3,1.000,0,6,6,0,1,2,2,4,15,+14,1
Mario Chalmers,21:18,3,7,.429,1,5,.200,1,2,.500,0,1,1,2,0,0,1,4,8,+3,1
Shane Battier,21:03,0,2,.000,0,2,.000,0,0,nan,0,0,0,0,0,1,0,2,0,+11,1
Norris Cole,26:42,2,8,.250,1,5,.200,0,0,nan,0,2,2,4,1,0,2,0,5,-1,1
Ray Allen,25:58,1,5,.200,1,3,.333,2,2,1.000,1,2,3,2,0,0,1,1,5,0,1
Rashard Lewis,17:30,2,6,.333,0,3,.000,0,0,nan,0,1,1,0,0,0,0,2,4,-12,1
Chris Andersen,16:41,3,4,.750,0,0,nan,0,0,nan,2,2,4,0,0,0,1,3,6,-12,1
Michael Beasley,7:43,4,4,1.000,0,0,nan,1,2,.500,0,3,3,0,0,0,1,1,9,-6,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Udonis Haslem,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Joel Anthony,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,34,73,.466,10,23,.435,21,29,.724,10,31,41,19,8,3,16,23,99,nan,240,1
