Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
J.R. Smith,42:02,11,23,.478,3,8,.375,2,2,1.000,1,4,5,1,1,0,3,3,27,-10,0
Kyrie Irving,40:35,9,23,.391,2,4,.500,3,4,.750,1,5,6,5,3,0,2,1,23,-6,0
Kevin Love,38:00,6,11,.545,1,2,.500,4,4,1.000,3,11,14,1,1,0,1,1,17,-7,0
Tristan Thompson,30:27,4,9,.444,0,0,nan,3,6,.500,4,5,9,1,2,0,2,3,11,-10,0
Mike Miller,19:57,0,3,.000,0,3,.000,0,0,nan,0,1,1,2,1,0,1,1,0,+5,0
Timofey Mozgov,26:40,3,7,.429,0,0,nan,3,5,.600,5,3,8,1,0,1,2,1,9,-17,0
James Jones,18:50,0,5,.000,0,5,.000,2,2,1.000,0,1,1,0,0,0,1,1,2,-14,0
Matthew Dellavedova,15:23,2,4,.500,1,1,1.000,0,0,nan,0,1,1,1,0,0,2,1,5,-20,0
Joe Harris,7:14,0,1,.000,0,0,nan,0,0,nan,0,0,0,1,0,0,0,2,0,-9,0
Brendan Haywood,0:53,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,0
Iman Shumpert,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Shawn Marion,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,35,86,.407,7,23,.304,17,23,.739,14,31,45,13,8,1,14,14,94,nan,0
Stephen Curry,35:00,8,15,.533,3,8,.375,4,4,1.000,0,1,1,10,2,0,1,1,23,+10,1
Draymond Green,30:52,5,13,.385,0,6,.000,0,0,nan,1,10,11,8,1,3,1,2,10,+8,1
Klay Thompson,29:38,8,17,.471,4,10,.400,4,4,1.000,1,3,4,2,2,1,1,3,24,+8,1
Marreese Speights,28:19,5,13,.385,0,1,.000,2,2,1.000,4,4,8,0,1,2,3,6,12,+3,1
Harrison Barnes,23:28,5,7,.714,1,1,1.000,0,0,nan,1,1,2,2,0,0,0,1,11,+7,1
Andre Iguodala,24:32,1,2,.500,1,2,.500,2,2,1.000,0,3,3,5,1,0,2,1,5,+11,1
Andrew Bogut,19:41,2,3,.667,0,0,nan,0,0,nan,0,5,5,3,0,1,0,4,4,+15,1
Justin Holiday,18:22,6,8,.750,1,2,.500,1,1,1.000,1,1,2,1,1,0,0,1,14,+10,1
David Lee,17:08,3,6,.500,0,0,nan,2,2,1.000,1,4,5,1,1,1,3,0,8,+10,1
Shaun Livingston,13:00,0,2,.000,0,0,nan,1,2,.500,0,3,3,3,0,0,2,1,1,+8,1
Brandon Rush,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Leandro Barbosa,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,35,86,.407,7,23,.304,17,23,.739,14,31,45,13,8,1,14,14,94,nan,240,1
