Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jon Leuer,29:59,7,14,.500,0,2,.000,2,2,1.000,3,4,7,2,2,0,0,2,16,-14,0
Marc Gasol,29:43,10,17,.588,0,1,.000,3,4,.750,5,6,11,5,0,1,4,3,23,-11,0
Mike Conley,24:49,5,13,.385,0,4,.000,1,1,1.000,0,2,2,5,1,0,0,0,11,-8,0
Courtney Lee,23:25,1,5,.200,0,0,nan,2,2,1.000,0,3,3,2,0,1,2,1,4,-9,0
Tayshaun Prince,21:40,1,4,.250,0,0,nan,0,0,nan,1,1,2,0,0,0,0,0,2,-3,0
Kosta Koufos,24:26,4,8,.500,0,0,nan,0,0,nan,0,3,3,0,1,0,0,0,8,-7,0
Quincy Pondexter,22:53,1,4,.250,1,4,.250,2,4,.500,0,0,0,0,0,1,1,4,5,-4,0
Vince Carter,20:17,5,9,.556,0,3,.000,2,2,1.000,1,2,3,1,2,0,0,0,12,-13,0
Beno Udrih,19:04,1,4,.250,0,1,.000,0,0,nan,0,1,1,5,0,0,1,2,2,-8,0
Nick Calathes,14:29,2,2,1.000,0,0,nan,0,0,nan,0,1,1,4,1,0,1,3,4,+5,0
Jordan Adams,5:20,2,3,.667,0,1,.000,0,0,nan,0,1,1,0,0,0,0,1,4,+1,0
Jarnell Stokes,3:55,0,3,.000,0,0,nan,0,0,nan,2,2,4,1,1,0,0,0,0,+1,0
Team Totals,240,39,86,.453,1,16,.063,12,15,.800,12,26,38,25,8,3,9,16,91,nan,0
LeBron James,37:33,9,15,.600,3,5,.600,4,6,.667,0,1,1,11,0,1,5,1,25,+8,1
Kyrie Irving,36:55,8,13,.615,1,1,1.000,0,1,.000,1,2,3,11,0,0,2,2,17,+24,1
Kevin Love,35:27,4,9,.444,0,0,nan,0,0,nan,0,8,8,2,0,1,2,4,8,+18,1
Anderson Varejao,27:08,9,12,.750,0,0,nan,0,0,nan,1,6,7,2,0,0,0,3,18,+8,1
Mike Miller,16:24,0,1,.000,0,1,.000,0,0,nan,0,1,1,4,0,0,0,2,0,+6,1
Dion Waiters,28:06,9,16,.563,2,5,.400,1,1,1.000,1,1,2,1,1,0,4,2,21,+8,1
Shawn Marion,21:58,5,6,.833,1,1,1.000,0,0,nan,0,5,5,1,1,1,1,0,11,+4,1
Tristan Thompson,20:15,1,2,.500,0,0,nan,1,2,.500,0,3,3,0,0,1,0,4,3,+6,1
Matthew Dellavedova,14:09,1,2,.500,0,1,.000,0,0,nan,1,1,2,2,0,0,0,1,2,-10,1
Joe Harris,2:05,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-2,1
A.J. Price,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,39,86,.453,1,16,.063,12,15,.800,12,26,38,25,8,3,9,16,91,nan,240,1
