Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Carmelo Anthony,40:02,9,25,.360,2,8,.250,0,0,nan,1,4,5,6,0,0,5,3,20,-11,0
Courtney Lee,36:24,10,15,.667,3,5,.600,2,2,1.000,1,5,6,5,1,0,1,1,25,0,0
Derrick Rose,31:58,6,14,.429,0,0,nan,1,1,1.000,0,2,2,4,0,0,1,1,13,-12,0
Willy Hernangomez,27:22,4,10,.400,0,1,.000,3,4,.750,4,7,11,3,0,2,1,3,11,-5,0
Kristaps Porzingis,15:35,4,10,.400,0,4,.000,0,0,nan,1,4,5,0,0,2,0,0,8,-6,0
Lance Thomas,31:28,3,7,.429,1,2,.500,2,2,1.000,2,3,5,2,1,1,0,3,9,-9,0
Kyle O'Quinn,18:50,2,6,.333,0,0,nan,0,1,.000,6,4,10,0,1,0,1,2,4,-11,0
Brandon Jennings,14:08,2,9,.222,1,4,.250,2,2,1.000,1,1,2,3,1,1,1,5,7,-5,0
Justin Holiday,11:36,1,4,.250,0,1,.000,1,3,.333,0,3,3,0,0,1,1,0,3,-15,0
Mindaugas Kuzminskas,7:01,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,1,1,0,-6,0
Sasha Vujacic,1:54,1,1,1.000,1,1,1.000,0,0,nan,0,0,0,0,0,0,0,0,3,+2,0
Ron Baker,1:54,0,0,nan,0,0,nan,1,2,.500,0,1,1,1,0,0,0,0,1,+2,0
Maurice Ndour,1:48,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+1,0
Team Totals,240,42,101,.416,8,26,.308,12,17,.706,16,34,50,24,4,7,12,19,104,nan,0
LeBron James,37:06,7,11,.636,0,2,.000,4,6,.667,0,13,13,15,0,3,6,1,18,+10,1
Tristan Thompson,31:16,5,7,.714,0,0,nan,0,0,nan,6,6,12,2,0,4,1,2,10,+6,1
Kyrie Irving,30:29,9,16,.563,1,4,.250,4,5,.800,1,3,4,6,1,1,2,1,23,+4,1
Channing Frye,26:40,5,14,.357,2,7,.286,2,2,1.000,0,3,3,0,0,2,2,1,14,-1,1
Iman Shumpert,22:51,2,9,.222,1,6,.167,0,0,nan,1,2,3,0,2,0,0,4,5,+3,1
Kyle Korver,31:21,7,12,.583,6,10,.600,0,0,nan,0,3,3,3,1,0,0,1,20,+27,1
Derrick Williams,26:46,4,8,.500,2,5,.400,0,0,nan,0,1,1,2,1,0,0,1,10,+15,1
Richard Jefferson,23:07,5,6,.833,2,3,.667,2,2,1.000,0,2,2,0,0,0,1,2,14,+11,1
Jordan McRae,2:36,1,1,1.000,1,1,1.000,0,0,nan,0,0,0,0,0,0,0,1,3,0,1
DeAndre Liggins,2:36,1,2,.500,0,0,nan,0,0,nan,0,2,2,0,0,0,0,1,2,0,1
James Jones,2:36,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,0,1
Kay Felder,2:36,0,1,.000,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,0,1
240,42,101,.416,8,26,.308,12,17,.706,16,34,50,24,4,7,12,19,104,nan,240,1
