Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kevin Love,37:39,8,16,.500,2,5,.400,2,3,.667,1,10,11,1,0,1,2,1,20,-4,0
LeBron James,35:52,9,23,.391,1,5,.200,6,7,.857,1,7,8,14,2,1,5,1,25,+11,0
Kyrie Irving,33:52,3,17,.176,0,5,.000,2,3,.667,1,6,7,2,2,0,4,2,8,-9,0
J.R. Smith,32:06,3,7,.429,3,7,.429,2,2,1.000,0,1,1,1,3,1,1,2,11,-1,0
Tristan Thompson,29:35,3,6,.500,0,0,nan,1,2,.500,6,7,13,0,0,2,0,2,7,0,0
Iman Shumpert,25:32,3,4,.750,1,2,.500,0,0,nan,1,2,3,3,1,0,1,1,7,-3,0
Channing Frye,18:25,4,9,.444,4,8,.500,0,0,nan,0,2,2,2,2,0,0,3,12,+1,0
Richard Jefferson,13:34,2,4,.500,1,2,.500,1,1,1.000,0,3,3,0,0,0,1,1,6,+3,0
Mike Dunleavy,13:25,2,5,.400,2,4,.500,0,0,nan,1,0,1,0,0,0,2,2,6,+7,0
Jordan McRae,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Chris Andersen,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Kay Felder,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,37,91,.407,14,38,.368,14,18,.778,11,38,49,23,10,5,16,15,102,nan,0
Sergio Rodriguez,31:28,3,9,.333,1,5,.200,0,0,nan,0,6,6,11,2,0,3,1,7,+2,1
Robert Covington,30:12,1,10,.100,1,9,.111,1,2,.500,0,8,8,0,3,2,2,2,4,-4,1
Joel Embiid,25:15,7,13,.538,4,4,1.000,4,4,1.000,2,4,6,2,1,4,6,3,22,-13,1
Gerald Henderson,23:55,5,9,.556,1,4,.250,0,0,nan,0,2,2,1,2,0,2,5,11,-21,1
Dario Saric,17:49,1,5,.200,0,1,.000,1,2,.500,0,7,7,2,0,0,1,4,3,+24,1
Ersan Ilyasova,28:19,8,13,.615,4,6,.667,1,2,.500,2,2,4,0,0,0,0,3,21,-21,1
Jahlil Okafor,22:45,7,11,.636,0,0,nan,0,2,.000,0,5,5,0,1,3,1,1,14,+12,1
Hollis Thompson,20:15,3,6,.500,2,5,.400,0,0,nan,0,2,2,1,0,0,1,3,8,+17,1
Nik Stauskas,19:20,2,5,.400,1,4,.250,0,0,nan,0,2,2,1,0,0,0,0,5,+5,1
T.J. McConnell,16:32,3,5,.600,0,0,nan,0,0,nan,1,2,3,3,0,0,1,1,6,-3,1
Timothe Luwawu-Cabarrot,4:10,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-3,1
Richaun Holmes,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,37,91,.407,14,38,.368,14,18,.778,11,38,49,23,10,5,16,15,102,nan,240,1
