Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Draymond Green,31:16,5,10,.500,2,4,.500,4,7,.571,2,5,7,10,0,2,1,2,16,+35,0
Stephen Curry,28:03,12,18,.667,7,12,.583,4,4,1.000,2,3,5,4,3,0,1,3,35,+34,0
Harrison Barnes,27:25,4,8,.500,2,5,.400,2,2,1.000,0,2,2,0,0,0,2,1,12,+18,0
Klay Thompson,25:50,5,11,.455,1,5,.200,4,4,1.000,0,1,1,2,1,0,1,3,15,+27,0
Andrew Bogut,15:21,2,4,.500,0,0,nan,0,2,.000,0,6,6,0,0,0,0,3,4,+16,0
Andre Iguodala,24:06,7,8,.875,4,5,.800,2,2,1.000,1,2,3,5,0,0,1,1,20,+31,0
Leandro Barbosa,19:08,3,6,.500,0,2,.000,2,2,1.000,0,1,1,4,2,0,0,1,8,+14,0
Festus Ezeli,15:48,2,3,.667,0,0,nan,0,0,nan,1,1,2,0,0,0,2,6,4,+15,0
Shaun Livingston,14:52,2,2,1.000,0,0,nan,0,0,nan,0,1,1,4,1,0,0,1,4,+7,0
Ian Clark,12:25,2,7,.286,2,5,.400,0,0,nan,0,2,2,2,0,0,0,0,6,-6,0
Brandon Rush,9:46,1,3,.333,1,2,.500,0,0,nan,0,3,3,1,0,0,0,1,3,-9,0
Marreese Speights,9:16,1,4,.250,0,0,nan,2,2,1.000,0,1,1,0,0,0,0,0,4,-9,0
Jason Thompson,6:44,0,1,.000,0,0,nan,1,2,.500,0,3,3,1,0,0,0,3,1,-3,0
Team Totals,240,46,85,.541,19,40,.475,21,27,.778,6,31,37,33,7,2,8,25,132,nan,0
LeBron James,32:53,7,16,.438,0,3,.000,2,2,1.000,1,4,5,5,1,1,3,1,16,-34,1
Kyrie Irving,22:36,3,11,.273,1,3,.333,1,1,1.000,2,3,5,3,0,0,2,0,8,-21,1
Kevin Love,21:14,1,5,.200,1,3,.333,0,0,nan,1,5,6,2,0,1,1,1,3,-18,1
J.R. Smith,20:54,6,9,.667,0,0,nan,2,6,.333,1,1,2,1,1,0,1,1,14,-29,1
Timofey Mozgov,14:42,3,6,.500,0,0,nan,0,0,nan,1,2,3,0,0,1,1,5,6,-19,1
Iman Shumpert,29:07,4,6,.667,0,1,.000,2,3,.667,0,2,2,0,0,0,3,6,10,-16,1
Matthew Dellavedova,27:49,4,8,.500,3,4,.750,0,0,nan,0,1,1,6,0,0,1,0,11,-13,1
Richard Jefferson,18:03,1,1,1.000,1,1,1.000,3,4,.750,0,3,3,0,0,1,1,1,6,-8,1
Anderson Varejao,17:08,2,4,.500,0,0,nan,1,2,.500,0,4,4,3,1,0,1,1,5,+4,1
Tristan Thompson,12:21,0,1,.000,0,0,nan,2,2,1.000,1,1,2,0,0,0,0,4,2,-15,1
Jared Cunningham,12:00,3,5,.600,0,1,.000,3,4,.750,1,2,3,1,0,0,0,1,9,+3,1
James Jones,11:13,3,5,.600,1,3,.333,1,1,1.000,0,0,0,1,0,0,1,4,8,-4,1
Mo Williams,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,46,85,.541,19,40,.475,21,27,.778,6,31,37,33,7,2,8,25,132,nan,240,1
