Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Luol Deng,39:45,5,15,.333,0,4,.000,1,4,.250,1,2,3,2,1,0,1,3,11,-5,0
Joakim Noah,33:39,5,5,1.000,0,0,nan,5,6,.833,1,9,10,1,0,1,3,5,15,-8,0
Richard Hamilton,27:32,1,6,.167,0,2,.000,4,5,.800,0,2,2,1,0,0,0,2,6,-11,0
Carlos Boozer,22:39,4,11,.364,0,0,nan,2,2,1.000,1,4,5,1,0,0,2,1,10,-8,0
C.J. Watson,19:52,0,3,.000,0,1,.000,2,2,1.000,0,1,1,4,0,0,3,4,2,-12,0
John Lucas III,28:08,5,16,.313,2,7,.286,4,4,1.000,0,6,6,4,0,0,2,2,16,+1,0
Taj Gibson,25:21,4,6,.667,0,0,nan,1,1,1.000,2,1,3,0,2,0,1,1,9,-3,0
Kyle Korver,16:23,0,2,.000,0,2,.000,0,0,nan,1,4,5,0,0,0,0,0,0,-3,0
Omer Asik,14:22,0,0,nan,0,0,nan,0,2,.000,0,2,2,1,1,1,1,1,0,-3,0
Ronnie Brewer,12:20,1,6,.167,0,0,nan,1,2,.500,1,2,3,2,0,0,0,0,3,-3,0
Team Totals,240,25,70,.357,2,16,.125,20,28,.714,7,33,40,16,4,2,13,19,72,nan,0
Udonis Haslem,35:45,3,9,.333,0,0,nan,0,0,nan,1,9,10,1,0,0,1,0,6,+12,1
LeBron James,35:20,8,18,.444,1,2,.500,10,12,.833,0,11,11,6,0,1,1,3,27,+11,1
Mario Chalmers,34:37,7,16,.438,1,5,.200,1,3,.333,1,1,2,2,2,0,3,5,16,+12,1
Dwyane Wade,32:35,7,16,.438,0,0,nan,4,6,.667,1,2,3,5,3,0,1,3,18,+12,1
Dexter Pittman,16:02,2,4,.500,0,0,nan,0,0,nan,3,4,7,0,0,0,2,3,4,+6,1
Joel Anthony,31:58,2,2,1.000,0,0,nan,0,0,nan,2,3,5,0,1,2,0,1,4,+5,1
Shane Battier,23:02,1,2,.500,1,2,.500,0,0,nan,1,5,6,0,0,1,1,1,3,+6,1
Mike Miller,15:13,1,6,.167,1,4,.250,0,0,nan,0,0,0,0,0,0,1,0,3,-7,1
Norris Cole,12:46,1,3,.333,0,0,nan,0,0,nan,0,0,0,0,0,0,2,2,2,-1,1
James Jones,2:42,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,1,0,-1,1
240,25,70,.357,2,16,.125,20,28,.714,7,33,40,16,4,2,13,19,72,nan,240,1
