Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,39:56,11,17,.647,2,5,.400,8,11,.727,0,7,7,3,2,4,4,1,32,+2,0
Dwyane Wade,37:44,7,13,.538,0,0,nan,4,7,.571,2,5,7,2,4,1,3,3,18,-2,0
Chris Bosh,35:26,8,17,.471,1,2,.500,4,5,.800,2,2,4,1,1,4,2,0,21,+4,0
Mario Chalmers,29:20,4,10,.400,1,5,.200,0,0,nan,0,3,3,4,1,0,0,3,9,+5,0
Udonis Haslem,10:29,0,1,.000,0,0,nan,0,0,nan,0,1,1,1,0,0,2,5,0,-1,0
Shane Battier,35:24,2,4,.500,2,4,.500,0,0,nan,0,4,4,3,1,2,1,2,6,-9,0
Ray Allen,28:01,3,8,.375,1,4,.250,0,0,nan,0,2,2,0,1,1,0,0,7,-4,0
Chris Andersen,12:34,2,5,.400,0,0,nan,0,0,nan,2,1,3,0,0,0,0,2,4,-8,0
Norris Cole,11:06,0,2,.000,0,0,nan,0,0,nan,0,0,0,1,1,0,1,1,0,-7,0
Team Totals,240,37,77,.481,7,20,.350,16,23,.696,6,25,31,15,11,12,13,17,97,nan,0
Luol Deng,44:27,10,22,.455,4,8,.500,4,4,1.000,3,4,7,5,2,0,2,1,28,+4,1
Jimmy Butler,43:23,6,10,.600,2,4,.500,3,5,.600,1,3,4,4,2,0,5,3,17,+6,1
Carlos Boozer,38:42,9,17,.529,0,0,nan,3,5,.600,3,14,17,3,1,1,5,4,21,+6,1
Kirk Hinrich,32:01,3,10,.300,1,3,.333,0,0,nan,1,4,5,7,1,0,2,3,7,+2,1
Nazr Mohammed,15:53,3,4,.750,0,0,nan,0,0,nan,2,1,3,0,2,0,0,0,6,+1,1
Taj Gibson,31:22,2,7,.286,0,0,nan,2,2,1.000,1,4,5,5,0,1,1,5,6,-1,1
Nate Robinson,21:30,6,10,.600,1,4,.250,1,2,.500,1,0,1,3,1,0,3,2,14,-3,1
Daequan Cook,12:01,1,5,.200,0,3,.000,0,0,nan,0,1,1,0,0,1,0,0,2,+5,1
Marquis Teague,0:21,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
Malcolm Thomas,0:21,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
240,37,77,.481,7,20,.350,16,23,.696,6,25,31,15,11,12,13,17,97,nan,240,1
