Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jeff Green,36:51,5,15,.333,2,7,.286,0,0,nan,0,6,6,1,0,1,3,3,12,-11,0
Jared Sullinger,28:58,4,14,.286,0,5,.000,4,4,1.000,8,3,11,1,2,0,2,3,12,+5,0
Kris Humphries,28:36,7,10,.700,0,0,nan,0,0,nan,4,9,13,2,1,0,2,4,14,-1,0
Rajon Rondo,25:43,0,8,.000,0,3,.000,1,4,.250,0,3,3,5,1,0,3,1,1,-7,0
Avery Bradley,7:23,0,3,.000,0,1,.000,3,3,1.000,0,1,1,0,0,0,1,1,3,-7,0
Gerald Wallace,26:49,3,9,.333,1,4,.250,1,1,1.000,0,2,2,2,0,0,2,1,8,-3,0
Chris Johnson,24:57,4,7,.571,2,5,.400,1,1,1.000,2,1,3,1,1,0,0,1,11,+7,0
Phil Pressey,22:17,1,3,.333,0,2,.000,0,0,nan,0,0,0,3,1,0,1,1,2,0,0
Brandon Bass,18:15,5,7,.714,0,0,nan,5,5,1.000,2,1,3,2,1,1,2,1,15,-10,0
Kelly Olynyk,13:02,3,7,.429,0,0,nan,0,0,nan,1,0,1,0,1,0,0,3,6,-7,0
Joel Anthony,7:09,1,1,1.000,0,0,nan,0,0,nan,0,3,3,0,0,1,0,0,2,-1,0
Jerryd Bayless,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Vitor Faverani,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Keith Bogans,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,33,84,.393,5,27,.185,15,18,.833,17,29,46,17,8,3,16,19,86,nan,0
LeBron James,38:48,10,19,.526,0,4,.000,9,11,.818,1,7,8,4,2,0,3,1,29,+10,1
Chris Bosh,34:20,7,10,.700,2,3,.667,0,0,nan,0,6,6,0,0,1,2,1,16,+6,1
Mario Chalmers,33:57,4,8,.500,0,1,.000,0,1,.000,1,1,2,6,0,1,2,2,8,-2,1
Ray Allen,33:02,3,7,.429,1,4,.250,0,0,nan,1,3,4,4,0,0,1,2,7,+13,1
Shane Battier,21:27,2,5,.400,0,2,.000,0,0,nan,0,1,1,2,0,1,0,1,4,+9,1
Norris Cole,28:57,1,7,.143,0,3,.000,0,0,nan,0,0,0,6,3,0,4,3,2,0,1
Chris Andersen,24:36,5,5,1.000,0,0,nan,3,4,.750,3,4,7,0,1,1,2,1,13,+3,1
Michael Beasley,12:53,4,6,.667,1,1,1.000,0,0,nan,0,2,2,0,1,0,0,4,9,-1,1
Rashard Lewis,6:26,1,4,.250,1,2,.500,0,0,nan,0,2,2,0,0,0,0,1,3,-2,1
Greg Oden,5:34,1,3,.333,0,0,nan,0,0,nan,1,0,1,0,0,1,0,2,2,-1,1
Roger Mason,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Udonis Haslem,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,33,84,.393,5,27,.185,15,18,.833,17,29,46,17,8,3,16,19,86,nan,240,1
