Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,40:50,11,18,.611,1,5,.200,2,2,1.000,1,9,10,5,3,0,4,3,25,-13,0
Dwyane Wade,39:02,12,18,.667,1,1,1.000,2,3,.667,0,1,1,4,0,0,3,3,27,-9,0
Mario Chalmers,36:30,2,9,.222,1,4,.250,1,2,.500,0,2,2,5,1,2,0,4,6,-15,0
Chris Bosh,31:37,4,12,.333,0,5,.000,1,2,.500,0,2,2,4,0,0,1,4,9,-16,0
Shane Battier,15:46,1,1,1.000,1,1,1.000,0,0,nan,0,2,2,0,0,0,0,3,3,+2,0
Ray Allen,29:56,4,8,.500,2,6,.333,2,2,1.000,0,5,5,4,0,0,1,2,12,+4,0
Chris Andersen,18:36,6,7,.857,0,0,nan,2,2,1.000,2,2,4,0,1,2,2,4,14,+3,0
Norris Cole,12:42,0,3,.000,0,1,.000,0,0,nan,0,1,1,1,2,0,0,1,0,-2,0
Udonis Haslem,10:55,0,1,.000,0,0,nan,0,2,.000,1,1,2,0,0,0,0,2,0,-8,0
James Jones,3:33,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-1,0
Toney Douglas,0:33,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
Rashard Lewis,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Michael Beasley,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,40,78,.513,6,23,.261,10,15,.667,4,25,29,23,7,4,11,26,96,nan,0
Lance Stephenson,41:00,8,12,.667,1,2,.500,0,0,nan,0,4,4,8,1,0,2,3,17,+12,1
Paul George,38:40,7,13,.538,3,6,.500,7,8,.875,0,4,4,7,1,0,3,5,24,+11,1
Roy Hibbert,38:37,5,13,.385,0,0,nan,9,13,.692,3,6,9,3,0,1,1,3,19,+19,1
George Hill,36:08,3,9,.333,3,7,.429,6,6,1.000,1,1,2,0,1,1,1,1,15,+11,1
David West,33:53,8,11,.727,0,0,nan,3,4,.750,1,6,7,3,0,0,2,2,19,+13,1
C.J. Watson,17:49,3,4,.750,1,2,.500,4,6,.667,0,4,4,1,1,0,2,0,11,-2,1
Luis Scola,13:34,1,3,.333,0,0,nan,0,0,nan,0,5,5,1,0,0,0,0,2,-2,1
Rasual Butler,9:17,0,1,.000,0,1,.000,0,0,nan,0,1,1,0,0,0,0,0,0,+1,1
Ian Mahinmi,8:50,0,1,.000,0,0,nan,0,0,nan,1,0,1,0,0,1,1,1,0,-8,1
Lavoy Allen,0:33,0,0,nan,0,0,nan,0,0,nan,1,0,1,0,0,0,0,0,0,0,1
Solomon Hill,0:33,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
Donald Sloan,0:33,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
Chris Copeland,0:33,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
240,40,78,.513,6,23,.261,10,15,.667,4,25,29,23,7,4,11,26,96,nan,240,1
