Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,42:50,3,13,.231,0,4,.000,2,2,1.000,0,5,5,9,1,0,2,1,8,+9,0
Eric Snow,38:32,2,4,.500,0,0,nan,0,2,.000,2,6,8,6,1,0,2,4,4,+14,0
Drew Gooden,35:46,13,20,.650,0,0,nan,5,6,.833,6,10,16,2,1,0,2,4,31,+12,0
Larry Hughes,35:42,7,17,.412,4,6,.667,4,7,.571,3,1,4,5,1,1,1,0,22,+7,0
Zydrunas Ilgauskas,33:10,5,15,.333,0,0,nan,1,1,1.000,2,6,8,2,0,5,1,5,11,+20,0
Damon Jones,18:15,3,10,.300,2,5,.400,0,0,nan,1,0,1,2,0,0,0,1,8,-3,0
Anderson Varejao,17:29,0,2,.000,0,0,nan,4,6,.667,4,0,4,0,0,1,1,2,4,-9,0
Donyell Marshall,9:36,2,4,.500,0,2,.000,0,0,nan,0,0,0,0,0,1,0,4,4,-5,0
Daniel Gibson,8:41,1,2,.500,1,1,1.000,0,0,nan,0,1,1,1,0,0,0,0,3,0,0
Team Totals,240,36,87,.414,7,18,.389,16,24,.667,18,29,47,27,4,8,9,21,95,nan,0
Michael Redd,41:22,8,23,.348,3,11,.273,7,11,.636,0,5,5,2,0,0,0,1,26,-12,1
Mo Williams,39:54,5,18,.278,1,3,.333,0,0,nan,0,3,3,4,1,0,1,4,11,-3,1
Charlie Bell,36:58,1,6,.167,1,3,.333,0,0,nan,1,1,2,5,1,0,1,1,3,-5,1
Brian Skinner,34:38,3,4,.750,0,0,nan,2,5,.400,3,7,10,2,0,4,3,4,8,-11,1
Andrew Bogut,33:09,5,5,1.000,0,0,nan,6,9,.667,2,8,10,2,4,0,4,5,16,-3,1
Ruben Patterson,22:49,5,11,.455,0,0,nan,3,4,.750,0,0,0,3,0,1,1,2,13,-4,1
Dan Gadzuric,15:46,2,4,.500,0,0,nan,0,0,nan,3,5,8,0,0,2,0,3,4,+1,1
Steve Blake,15:24,2,4,.500,1,1,1.000,0,0,nan,0,1,1,1,0,0,0,0,5,-8,1
240,36,87,.414,7,18,.389,16,24,.667,18,29,47,27,4,8,9,21,95,nan,240,1
